TEMPORAL;OBS_STATUS;TIPOVENTAS;TIPOSERIES;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2001-07;P;01;03;;INDICE;131.938026086;M
2001-07;P;02;03;;INDICE;121.60546225;M
2001-07;P;03;03;;INDICE;138.604017719;M
2001-08;P;01;03;;INDICE;118.981611923;M
2001-08;P;02;03;;INDICE;124.9690708;M
2001-08;P;03;03;;INDICE;115.917805528;M
2001-09;P;01;03;;INDICE;113.335226775;M
2001-09;P;02;03;;INDICE;113.042341414;M
2001-09;P;03;03;;INDICE;113.673528985;M
2001-10;P;01;03;;INDICE;117.051759466;M
2001-10;P;02;03;;INDICE;117.534364364;M
2001-10;P;03;03;;INDICE;116.799099825;M
2001-11;P;01;03;;INDICE;117.308324154;M
2001-11;P;02;03;;INDICE;111.844712601;M
2001-11;P;03;03;;INDICE;120.927207919;M
2001-12;P;01;03;;INDICE;187.739945428;M
2001-12;P;02;03;;INDICE;191.254757456;M
2001-12;P;03;03;;INDICE;185.539320543;M
2002-01;P;01;03;;INDICE;131.741430754;M
2002-01;P;02;03;;INDICE;100.063434048;M
2002-01;P;03;03;;INDICE;150.331805719;M
2002-02;P;01;03;;INDICE;91.726754068;M
2002-02;P;02;03;;INDICE;93.851215626;M
2002-02;P;03;03;;INDICE;90.793045236;M
2002-03;P;01;03;;INDICE;108.033556946;M
2002-03;P;02;03;;INDICE;113.569090973;M
2002-03;P;03;03;;INDICE;105.946849038;M
2002-04;P;01;03;;INDICE;108.737342173;M
2002-04;P;02;03;;INDICE;111.105752453;M
2002-04;P;03;03;;INDICE;106.737149776;M
2002-05;P;01;03;;INDICE;115.037108506;M
2002-05;P;02;03;;INDICE;110.462254351;M
2002-05;P;03;03;;INDICE;118.070855876;M
2002-06;P;01;03;;INDICE;109.318347148;M
2002-06;P;02;03;;INDICE;109.339514875;M
2002-06;P;03;03;;INDICE;109.477527453;M
2002-07;P;01;03;;INDICE;138.221800742;M
2002-07;P;02;03;;INDICE;125.324929072;M
2002-07;P;03;03;;INDICE;145.767413606;M
2002-08;P;01;03;;INDICE;123.903239514;M
2002-08;P;02;03;;INDICE;126.824488953;M
2002-08;P;03;03;;INDICE;121.908848203;M
2002-09;P;01;03;;INDICE;121.458782641;M
2002-09;P;02;03;;INDICE;113.926911607;M
2002-09;P;03;03;;INDICE;126.168422793;M
2002-10;P;01;03;;INDICE;119.521914052;M
2002-10;P;02;03;;INDICE;115.211197825;M
2002-10;P;03;03;;INDICE;122.354384428;M
2002-11;P;01;03;;INDICE;123.445580796;M
2002-11;P;02;03;;INDICE;113.765731594;M
2002-11;P;03;03;;INDICE;128.994998226;M
2002-12;P;01;03;;INDICE;192.13090698;M
2002-12;P;02;03;;INDICE;188.741179922;M
2002-12;P;03;03;;INDICE;195.892283529;M
2003-01;P;01;03;;INDICE;140.453220739;M
2003-01;P;02;03;;INDICE;98.320037159;M
2003-01;P;03;03;;INDICE;165.217765215;M
2003-02;P;01;03;;INDICE;96.105514742;M
2003-02;P;02;03;;INDICE;92.603826051;M
2003-02;P;03;03;;INDICE;98.426587381;M
2003-03;P;01;03;;INDICE;108.336599962;M
2003-03;P;02;03;;INDICE;110.197531314;M
2003-03;P;03;03;;INDICE;106.365787268;M
2003-04;P;01;03;;INDICE;114.076940533;M
2003-04;P;02;03;;INDICE;108.302078577;M
2003-04;P;03;03;;INDICE;118.491784098;M
2003-05;P;01;03;;INDICE;118.945469164;M
2003-05;P;02;03;;INDICE;105.935210657;M
2003-05;P;03;03;;INDICE;126.533013156;M
2003-06;P;01;03;;INDICE;118.684361277;M
2003-06;P;02;03;;INDICE;109.522770164;M
2003-06;P;03;03;;INDICE;124.247804016;M
2003-07;P;01;03;;INDICE;142.380733549;M
2003-07;P;02;03;;INDICE;122.421581055;M
2003-07;P;03;03;;INDICE;154.356541882;M
2003-08;P;01;03;;INDICE;129.389957793;M
2003-08;P;02;03;;INDICE;128.498876882;M
2003-08;P;03;03;;INDICE;130.315464348;M
2003-09;P;01;03;;INDICE;120.131176121;M
2003-09;P;02;03;;INDICE;111.099416869;M
2003-09;P;03;03;;INDICE;125.441774679;M
2003-10;P;01;03;;INDICE;127.992450005;M
2003-10;P;02;03;;INDICE;115.794425678;M
2003-10;P;03;03;;INDICE;135.454290793;M
2003-11;P;01;03;;INDICE;128.522168066;M
2003-11;P;02;03;;INDICE;113.113096061;M
2003-11;P;03;03;;INDICE;137.626214113;M
2003-12;P;01;03;;INDICE;206.291625769;M
2003-12;P;02;03;;INDICE;189.024949791;M
2003-12;P;03;03;;INDICE;216.646809742;M
2004-01;P;01;03;;INDICE;144.880277565;M
2004-01;P;02;03;;INDICE;98.983570347;M
2004-01;P;03;03;;INDICE;171.636971312;M
2004-02;P;01;03;;INDICE;97.675308808;M
2004-02;P;02;03;;INDICE;89.610980647;M
2004-02;P;03;03;;INDICE;102.287600809;M
2004-03;P;01;03;;INDICE;115.537278114;M
2004-03;P;02;03;;INDICE;111.913168416;M
2004-03;P;03;03;;INDICE;116.933665472;M
2004-04;P;01;03;;INDICE;117.459720228;M
2004-04;P;02;03;;INDICE;106.962367711;M
2004-04;P;03;03;;INDICE;124.731745751;M
2004-05;P;01;03;;INDICE;118.620665364;M
2004-05;P;02;03;;INDICE;104.39675307;M
2004-05;P;03;03;;INDICE;126.697433174;M
2004-06;P;01;03;;INDICE;127.544334546;M
2004-06;P;02;03;;INDICE;110.823036573;M
2004-06;P;03;03;;INDICE;137.587872702;M
2004-07;P;01;03;;INDICE;150.163740858;M
2004-07;P;02;03;;INDICE;125.977007268;M
2004-07;P;03;03;;INDICE;163.905563242;M
2004-08;P;01;03;;INDICE;131.12982508;M
2004-08;P;02;03;;INDICE;126.138547357;M
2004-08;P;03;03;;INDICE;134.775013406;M
2004-09;P;01;03;;INDICE;124.350238914;M
2004-09;P;02;03;;INDICE;111.963470232;M
2004-09;P;03;03;;INDICE;131.632791597;M
2004-10;P;01;03;;INDICE;130.065469082;M
2004-10;P;02;03;;INDICE;119.651028998;M
2004-10;P;03;03;;INDICE;136.542183822;M
2004-11;P;01;03;;INDICE;133.520774876;M
