TEMPORAL;EDAD;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
1998;065100;00;18;;4463.9891991;A
1998;065100;00;21;;1360.7729633;A
1998;065100;00;23;;6838.1685023;A
1998;065100;00;29;;2947.316041;A
1998;065100;00;41;;2676.297378;A
1998;065100;00;C01;;30936.1924823;A
1998;065100;01;04;;1375.4524673;A
1998;065100;01;11;;488.8110213;A
1998;065100;01;14;;1622.0258875;A
1998;065100;01;18;;1288.5439418;A
1998;065100;01;21;;334.4306272;A
1998;065100;01;23;;1961.9276833;A
1998;065100;01;29;;791.7492213;A
1998;065100;01;41;;753.5173032;A
1998;065100;01;C01;;8616.4581529;A
1998;065100;06;04;;3704.6905561;A
1998;065100;06;11;;1459.640872;A
1998;065100;06;14;;3999.0275944;A
1998;065100;06;18;;3175.4452573;A
1998;065100;06;21;;1026.3423361;A
1998;065100;06;23;;4876.240819;A
1998;065100;06;29;;2155.5668197;A
1998;065100;06;41;;1922.7800748;A
1998;065100;06;C01;;22319.7343294;A
1999;00;00;04;;140735.5588643;A
1999;00;00;11;;131875.6482954;A
1999;00;00;14;;303019.3544011;A
1999;00;00;18;;288541.6475556;A
1999;00;00;21;;61477.8236603;A
1999;00;00;23;;379768.8628222;A
1999;00;00;29;;149356.8843113;A
1999;00;00;41;;213391.8908155;A
1999;00;00;C01;;1668167.6707257;A
1999;00;01;04;;64502.3008553;A
1999;00;01;11;;64059.0043759;A
1999;00;01;14;;144843.9625555;A
1999;00;01;18;;139046.2091457;A
1999;00;01;21;;29101.8572026;A
1999;00;01;23;;181261.3674792;A
1999;00;01;29;;72096.8558819;A
1999;00;01;41;;103537.4281505;A
1999;00;01;C01;;798448.9856466;A
1999;00;06;04;;76233.258009;A
1999;00;06;11;;67816.6439195;A
1999;00;06;14;;158175.3918456;A
1999;00;06;18;;149495.4384099;A
1999;00;06;21;;32375.9664577;A
1999;00;06;23;;198507.495343;A
1999;00;06;29;;77260.0284294;A
1999;00;06;41;;109854.462665;A
1999;00;06;C01;;869718.6850791;A
1999;000004;00;04;;330.5096289;A
1999;000004;00;11;;1163.170948;A
1999;000004;00;14;;632.0743391;A
1999;000004;00;18;;924.4200614;A
1999;000004;00;21;;187.2094632;A
1999;000004;00;23;;593.5164209;A
1999;000004;00;29;;877.2771642;A
1999;000004;00;41;;1164.4328014;A
1999;000004;00;C01;;5872.6108271;A
1999;000004;01;04;;159.5221431;A
1999;000004;01;11;;531.884538;A
1999;000004;01;14;;322.3556635;A
1999;000004;01;18;;483.9223769;A
1999;000004;01;21;;104.2577837;A
1999;000004;01;23;;314.6839218;A
1999;000004;01;29;;488.3331088;A
1999;000004;01;41;;577.3532118;A
1999;000004;01;C01;;2982.3127476;A
1999;000004;06;04;;170.9874858;A
1999;000004;06;11;;631.28641;A
1999;000004;06;14;;309.7186756;A
1999;000004;06;18;;440.4976845;A
1999;000004;06;21;;82.9516795;A
1999;000004;06;23;;278.8324991;A
1999;000004;06;29;;388.9440554;A
1999;000004;06;41;;587.0795896;A
1999;000004;06;C01;;2890.2980795;A
1999;005009;00;04;;708.4448786;A
1999;005009;00;11;;2182.7762441;A
1999;005009;00;14;;1494.8122127;A
1999;005009;00;18;;1868.865296;A
1999;005009;00;21;;398.1483455;A
1999;005009;00;23;;1476.4254598;A
1999;005009;00;29;;1525.982624;A
1999;005009;00;41;;2475.2370603;A
1999;005009;00;C01;;12130.692121;A
1999;005009;01;04;;378.6716562;A
1999;005009;01;11;;1143.0165589;A
1999;005009;01;14;;765.5963537;A
1999;005009;01;18;;945.0105197;A
1999;005009;01;21;;198.1090424;A
1999;005009;01;23;;759.7284009;A
1999;005009;01;29;;792.4957216;A
1999;005009;01;41;;1242.81179;A
1999;005009;01;C01;;6225.4400434;A
1999;005009;06;04;;329.7732224;A
1999;005009;06;11;;1039.7596852;A
1999;005009;06;14;;729.215859;A
1999;005009;06;18;;923.8547763;A
1999;005009;06;21;;200.0393031;A
1999;005009;06;23;;716.6970589;A
1999;005009;06;29;;733.4869024;A
1999;005009;06;41;;1232.4252703;A
1999;005009;06;C01;;5905.2520776;A
1999;010014;00;04;;1060.6931776;A
1999;010014;00;11;;3033.9433574;A
1999;010014;00;14;;2183.9792776;A
1999;010014;00;18;;2824.2214152;A
1999;010014;00;21;;613.6948511;A
1999;010014;00;23;;2785.1969228;A
1999;010014;00;29;;1943.6865316;A
1999;010014;00;41;;3057.8441813;A
1999;010014;00;C01;;17503.2597146;A
1999;010014;01;04;;536.7788874;A
1999;010014;01;11;;1600.791455;A
1999;010014;01;14;;1104.798696;A
1999;010014;01;18;;1459.5671956;A
1999;010014;01;21;;301.0350078;A
1999;010014;01;23;;1412.1949517;A
1999;010014;01;29;;1004.4349462;A
1999;010014;01;41;;1616.7153055;A
1999;010014;01;C01;;9036.3164452;A
1999;010014;06;04;;523.9142902;A
1999;010014;06;11;;1433.1519024;A
1999;010014;06;14;;1079.1805816;A
1999;010014;06;18;;1364.6542196;A
1999;010014;06;21;;312.6598433;A
1999;010014;06;23;;1373.0019711;A
1999;010014;06;29;;939.2515854;A
1999;010014;06;41;;1441.1288758;A
1999;010014;06;C01;;8466.9432694;A
1999;015019;00;04;;1495.1670496;A
1999;015019;00;11;;3776.2452459;A
1999;015019;00;14;;2738.4158388;A
1999;015019;00;18;;3501.6290013;A
1999;015019;00;21;;862.8539412;A
1999;015019;00;23;;3475.9863559;A
1999;015019;00;29;;2273.5387885;A
1999;015019;00;41;;4083.9020627;A
1999;015019;00;C01;;22207.7382839;A
1999;015019;01;04;;755.8756791;A
1999;015019;01;11;;1996.4222862;A
1999;015019;01;14;;1409.6369593;A
1999;015019;01;18;;1803.8617393;A
1999;015019;01;21;;457.4360334;A
1999;015019;01;23;;1829.1554375;A
1999;015019;01;29;;1164.3059083;A
1999;015019;01;41;;2110.1759583;A
1999;015019;01;C01;;11526.8700014;A
1999;015019;06;04;;739.2913705;A
1999;015019;06;11;;1779.8229597;A
1999;015019;06;14;;1328.7788795;A
1999;015019;06;18;;1697.767262;A
1999;015019;06;21;;405.4179078;A
1999;015019;06;23;;1646.8309184;A
1999;015019;06;29;;1109.2328802;A
1999;015019;06;41;;1973.7261044;A
1999;015019;06;C01;;10680.8682825;A
1999;020024;00;04;;2210.7429859;A
1999;020024;00;11;;6152.9157454;A
1999;020024;00;14;;4191.3686391;A
1999;020024;00;18;;5036.9581637;A
1999;020024;00;21;;1199.9861728;A
1999;020024;00;23;;5064.8223049;A
1999;020024;00;29;;3423.7605972;A
1999;020024;00;41;;6633.2811693;A
1999;020024;00;C01;;33913.8357783;A
1999;020024;01;04;;1115.0264219;A
1999;020024;01;11;;3070.0484859;A
1999;020024;01;14;;2160.271144;A
1999;020024;01;18;;2514.004437;A
1999;020024;01;21;;618.6663286;A
1999;020024;01;23;;2504.1864529;A
1999;020024;01;29;;1779.2217479;A
1999;020024;01;41;;3462.6080254;A
1999;020024;01;C01;;17224.0330436;A
1999;020024;06;04;;1095.716564;A
1999;020024;06;11;;3082.8672595;A
1999;020024;06;14;;2031.0974951;A
1999;020024;06;18;;2522.9537267;A
1999;020024;06;21;;581.3198442;A
1999;020024;06;23;;2560.635852;A
1999;020024;06;29;;1644.5388493;A
1999;020024;06;41;;3170.6731439;A
1999;020024;06;C01;;16689.8027347;A
1999;025029;00;04;;3637.1782132;A
1999;025029;00;11;;9895.3179105;A
1999;025029;00;14;;8987.3812692;A
1999;025029;00;18;;10183.3477767;A
1999;025029;00;21;;2318.9640879;A
1999;025029;00;23;;11359.266293;A
1999;025029;00;29;;5862.2508608;A
1999;025029;00;41;;11418.3853287;A
1999;025029;00;C01;;63662.09174;A
1999;025029;01;04;;1794.1286591;A
1999;025029;01;11;;5100.9175937;A
1999;025029;01;14;;4549.7684083;A
1999;025029;01;18;;5152.1461422;A
1999;025029;01;21;;1187.5767002;A
1999;025029;01;23;;5685.0058864;A
1999;025029;01;29;;3025.5578044;A
1999;025029;01;41;;5930.3361448;A
1999;025029;01;C01;;32425.4373391;A
1999;025029;06;04;;1843.0495541;A
1999;025029;06;11;;4794.4003168;A
