TEMPORAL;SEXO;TERRITORIO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
1999;01;C02;14;;3369.725674;A
1999;01;C02;18;;2008.3241233;A
1999;01;C02;21;;390.7141633;A
1999;01;C02;23;;2883.5895751;A
1999;01;C02;29;;1299.8693642;A
1999;01;C02;41;;1658.1865435;A
1999;01;C02;C01;;13695.1656745;A
1999;01;C03;04;;210.6355896;A
1999;01;C03;11;;421.2469624;A
1999;01;C03;14;;1545.5541307;A
1999;01;C03;18;;876.5381152;A
1999;01;C03;21;;272.9537004;A
1999;01;C03;23;;1510.3520671;A
1999;01;C03;29;;1019.924325;A
1999;01;C03;41;;624.3893783;A
1999;01;C03;C01;;6481.5942687;A
1999;01;C04;04;;1676.2906557;A
1999;01;C04;11;;4419.4077124;A
1999;01;C04;14;;5446.0344997;A
1999;01;C04;18;;12542.5046373;A
1999;01;C04;21;;1732.1631721;A
1999;01;C04;23;;6868.9358797;A
1999;01;C04;29;;2935.3175867;A
1999;01;C04;41;;7320.0555975;A
1999;01;C04;C01;;42940.7097411;A
1999;01;C05;04;;777.1439908;A
1999;01;C05;11;;5250.7703626;A
1999;01;C05;14;;2143.6512036;A
1999;01;C05;18;;2229.3424514;A
1999;01;C05;21;;829.3605546;A
1999;01;C05;23;;1345.1395003;A
1999;01;C05;29;;2569.1282783;A
1999;01;C05;41;;4187.5065836;A
1999;01;C05;C01;;19332.0429252;A
1999;01;C06;04;;73.6098997;A
1999;01;C06;11;;541.080808;A
1999;01;C06;14;;260.1097964;A
1999;01;C06;18;;249.0474318;A
1999;01;C06;21;;258.4099904;A
1999;01;C06;23;;420.4167641;A
1999;01;C06;29;;411.1761983;A
1999;01;C06;41;;357.5450145;A
1999;01;C06;C01;;2571.3959032;A
1999;01;C07;04;;541.7960398;A
1999;01;C07;11;;1043.5922367;A
1999;01;C07;14;;3533.721202;A
1999;01;C07;18;;1531.3492769;A
1999;01;C07;21;;518.9807245;A
