D_TEMPORAL_0;D_SEXO_0;D_TERRITORIO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
1999;00;C07;04;Andaluces;1182.2745367;A
1999;00;C07;11;Andaluces;2237.2494943;A
1999;00;C07;14;Andaluces;7490.9902288;A
1999;00;C07;18;Andaluces;3183.5328853;A
1999;00;C07;21;Andaluces;1057.3676422;A
1999;00;C07;23;Andaluces;9578.437218;A
1999;00;C07;29;Andaluces;2112.6107796;A
1999;00;C07;41;Andaluces;3207.6183358;A
1999;00;C07;C01;Andaluces;30050.0811207;A
1999;00;C08;04;Andaluces;858.4522955;A
1999;00;C08;11;Andaluces;2235.2839661;A
1999;00;C08;14;Andaluces;3091.9054185;A
1999;00;C08;18;Andaluces;2484.1958789;A
1999;00;C08;21;Andaluces;999.9298344;A
1999;00;C08;23;Andaluces;3838.2303823;A
1999;00;C08;29;Andaluces;2040.2139654;A
1999;00;C08;41;Andaluces;2860.2901507;A
1999;00;C08;C01;Andaluces;18408.5018918;A
1999;00;C09;04;Andaluces;90054.2109347;A
1999;00;C09;11;Andaluces;44682.0865769;A
1999;00;C09;14;Andaluces;147380.4608945;A
1999;00;C09;18;Andaluces;158029.3275277;A
1999;00;C09;21;Andaluces;28969.39492;A
