D_TEMPORAL_0;D_TERRITORIO_1;D_TERRITORIO_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
2009;6604;14;00;C01;Andaluces;33.0;A
2009;6604;14;00;C02;Andaluces;6.0;A
2009;6604;14;00;66;Andaluces;29.0;A
2009;6604;14;00;NC000;Andaluces;;A
2009;6604;14;00;00;Andaluces;68.0;A
2009;6604;18;00;04;Andaluces;1.0;A
2009;6604;18;00;11;Andaluces;1.0;A
2009;6604;18;00;14;Andaluces;1.0;A
2009;6604;18;00;18;Andaluces;113.0;A
2009;6604;18;00;21;Andaluces;1.0;A
2009;6604;18;00;23;Andaluces;5.0;A
2009;6604;18;00;29;Andaluces;1.0;A
2009;6604;18;00;41;Andaluces;;A
2009;6604;18;00;C01;Andaluces;123.0;A
2009;6604;18;00;C02;Andaluces;14.0;A
2009;6604;18;00;66;Andaluces;158.0;A
2009;6604;18;00;NC000;Andaluces;1.0;A
2009;6604;18;00;00;Andaluces;296.0;A
2009;6604;21;00;04;Andaluces;;A
2009;6604;21;00;11;Andaluces;;A
2009;6604;21;00;14;Andaluces;;A
2009;6604;21;00;18;Andaluces;;A
2009;6604;21;00;21;Andaluces;15.0;A
2009;6604;21;00;23;Andaluces;;A
2009;6604;21;00;29;Andaluces;;A
2009;6604;21;00;41;Andaluces;2.0;A
2009;6604;21;00;C01;Andaluces;17.0;A
2009;6604;21;00;C02;Andaluces;3.0;A
2009;6604;21;00;66;Andaluces;8.0;A
2009;6604;21;00;NC000;Andaluces;;A
2009;6604;21;00;00;Andaluces;28.0;A
2009;6604;23;00;04;Andaluces;;A
2009;6604;23;00;11;Andaluces;;A
2009;6604;23;00;14;Andaluces;;A
2009;6604;23;00;18;Andaluces;1.0;A
2009;6604;23;00;21;Andaluces;;A
2009;6604;23;00;23;Andaluces;32.0;A
2009;6604;23;00;29;Andaluces;1.0;A
2009;6604;23;00;41;Andaluces;;A
2009;6604;23;00;C01;Andaluces;34.0;A
2009;6604;23;00;C02;Andaluces;3.0;A
2009;6604;23;00;66;Andaluces;35.0;A
2009;6604;23;00;NC000;Andaluces;;A
2009;6604;23;00;00;Andaluces;72.0;A
2009;6604;29;00;04;Andaluces;;A
2009;6604;29;00;11;Andaluces;5.0;A
2009;6604;29;00;14;Andaluces;6.0;A
