D_TEMPORAL_0;D_EDAD_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
1998;070074;06;23;Andaluces;14291.7342942;A
1998;070074;06;29;Andaluces;5480.6313797;A
1998;070074;06;41;Andaluces;5631.6847896;A
1998;070074;06;C01;Andaluces;58303.9469621;A
1998;075079;00;04;Andaluces;9719.5699547;A
1998;075079;00;11;Andaluces;4191.7915862;A
1998;075079;00;14;Andaluces;13646.8234135;A
1998;075079;00;18;Andaluces;11209.1822876;A
1998;075079;00;21;Andaluces;2830.2064046;A
1998;075079;00;23;Andaluces;16971.5883351;A
1998;075079;00;29;Andaluces;6829.503143;A
1998;075079;00;41;Andaluces;6739.3198998;A
1998;075079;00;C01;Andaluces;72137.9850245;A
1998;075079;01;04;Andaluces;3851.5952323;A
1998;075079;01;11;Andaluces;1586.6736682;A
1998;075079;01;14;Andaluces;5415.4413967;A
1998;075079;01;18;Andaluces;4547.4203389;A
1998;075079;01;21;Andaluces;1072.9904013;A
1998;075079;01;23;Andaluces;6704.4830894;A
1998;075079;01;29;Andaluces;2668.1568385;A
1998;075079;01;41;Andaluces;2761.5431533;A
1998;075079;01;C01;Andaluces;28608.3041186;A
1998;075079;06;04;Andaluces;5867.9747224;A
1998;075079;06;11;Andaluces;2605.117918;A
1998;075079;06;14;Andaluces;8231.3820168;A
1998;075079;06;18;Andaluces;6661.7619487;A
1998;075079;06;21;Andaluces;1757.2160033;A
1998;075079;06;23;Andaluces;10267.1052457;A
1998;075079;06;29;Andaluces;4161.3463045;A
1998;075079;06;41;Andaluces;3977.7767465;A
1998;075079;06;C01;Andaluces;43529.6809059;A
1998;080084;00;04;Andaluces;6224.1580731;A
1998;080084;00;11;Andaluces;2551.3276799;A
1998;080084;00;14;Andaluces;7888.7640035;A
1998;080084;00;18;Andaluces;6358.2763615;A
1998;080084;00;21;Andaluces;1879.8454606;A
1998;080084;00;23;Andaluces;9625.6971427;A
1998;080084;00;29;Andaluces;4126.5597121;A
1998;080084;00;41;Andaluces;3872.7812493;A
1998;080084;00;C01;Andaluces;42527.4096827;A
1998;080084;01;04;Andaluces;2126.5465774;A
1998;080084;01;11;Andaluces;885.7636274;A
1998;080084;01;14;Andaluces;2698.953118;A
1998;080084;01;18;Andaluces;2314.0572728;A
1998;080084;01;21;Andaluces;613.8390333;A
1998;080084;01;23;Andaluces;3266.1882005;A
1998;080084;01;29;Andaluces;1458.0922625;A
1998;080084;01;41;Andaluces;1386.3698518;A
1998;080084;01;C01;Andaluces;14749.8099437;A
1998;080084;06;04;Andaluces;4097.6114957;A
1998;080084;06;11;Andaluces;1665.5640525;A
1998;080084;06;14;Andaluces;5189.8108855;A
1998;080084;06;18;Andaluces;4044.2190887;A
1998;080084;06;21;Andaluces;1266.0064273;A
1998;080084;06;23;Andaluces;6359.5089422;A
1998;080084;06;29;Andaluces;2668.4674496;A
1998;080084;06;41;Andaluces;2486.4113975;A
1998;080084;06;C01;Andaluces;27777.599739;A
1998;065100;00;04;Andaluces;5080.1430234;A
1998;065100;00;11;Andaluces;1948.4518933;A
