TEMPORAL;OBS_STATUS;ICMA_TIPOVENTAS;TERRITORIO;IVGS_SERIEIVGS;INDICATOR;OBS_VALUE;FREQ
2010-12;P;61593;ES61;277796;INDI_ORIG;107.684730817;M
2010-12;P;61594;ES61;277796;INDI_ORIG;101.936425713;M
2010-12;P;61595;ES61;277796;INDI_ORIG;110.86433902;M
2011-01;P;61592;ES61;277796;INDI_ORIG;108.087791495;M
2011-01;P;61593;ES61;277796;INDI_ORIG;106.861381084;M
2011-01;P;61594;ES61;277796;INDI_ORIG;102.445892221;M
2011-01;P;61595;ES61;277796;INDI_ORIG;110.533889835;M
2011-02;P;61592;ES61;277796;INDI_ORIG;107.628849909;M
2011-02;P;61593;ES61;277796;INDI_ORIG;107.07207245;M
2011-02;P;61594;ES61;277796;INDI_ORIG;102.262605744;M
2011-02;P;61595;ES61;277796;INDI_ORIG;109.837458049;M
2011-03;P;61592;ES61;277796;INDI_ORIG;107.03477144;M
2011-03;P;61593;ES61;277796;INDI_ORIG;105.681492403;M
2011-03;P;61594;ES61;277796;INDI_ORIG;101.380560008;M
2011-03;P;61595;ES61;277796;INDI_ORIG;107.955973398;M
2011-04;P;61592;ES61;277796;INDI_ORIG;112.187678583;M
2011-04;P;61593;ES61;277796;INDI_ORIG;107.872613805;M
2011-04;P;61594;ES61;277796;INDI_ORIG;103.465164604;M
2011-04;P;61595;ES61;277796;INDI_ORIG;116.705345592;M
2011-05;P;61592;ES61;277796;INDI_ORIG;105.866156346;M
2011-05;P;61593;ES61;277796;INDI_ORIG;104.902036252;M
2011-05;P;61594;ES61;277796;INDI_ORIG;101.232081922;M
2011-05;P;61595;ES61;277796;INDI_ORIG;107.327505074;M
2011-06;P;61592;ES61;277796;INDI_ORIG;105.379733357;M
2011-06;P;61593;ES61;277796;INDI_ORIG;104.722639731;M
2011-06;P;61594;ES61;277796;INDI_ORIG;100.55722868;M
2011-06;P;61595;ES61;277796;INDI_ORIG;107.123312984;M
2011-07;P;61592;ES61;277796;INDI_ORIG;105.454330998;M
2011-07;P;61593;ES61;277796;INDI_ORIG;103.839619448;M
2011-07;P;61594;ES61;277796;INDI_ORIG;100.389146756;M
2011-07;P;61595;ES61;277796;INDI_ORIG;107.066319328;M
2011-08;P;61592;ES61;277796;INDI_ORIG;103.513709232;M
2011-08;P;61593;ES61;277796;INDI_ORIG;102.788141803;M
2011-08;P;61594;ES61;277796;INDI_ORIG;99.339373811;M
2011-08;P;61595;ES61;277796;INDI_ORIG;103.90245742;M
2011-09;P;61592;ES61;277796;INDI_ORIG;105.276002417;M
2011-09;P;61593;ES61;277796;INDI_ORIG;103.918426941;M
2011-09;P;61594;ES61;277796;INDI_ORIG;103.021765557;M
2011-09;P;61595;ES61;277796;INDI_ORIG;104.157949514;M
2011-10;P;61592;ES61;277796;INDI_ORIG;104.956307132;M
2011-10;P;61593;ES61;277796;INDI_ORIG;103.481823543;M
2011-10;P;61594;ES61;277796;INDI_ORIG;102.885803132;M
2011-10;P;61595;ES61;277796;INDI_ORIG;104.251533821;M
2011-11;P;61592;ES61;277796;INDI_ORIG;104.261754204;M
2011-11;P;61593;ES61;277796;INDI_ORIG;102.428797815;M
2011-11;P;61594;ES61;277796;INDI_ORIG;101.284234147;M
2011-11;P;61595;ES61;277796;INDI_ORIG;102.499989263;M
2011-12;P;61592;ES61;277796;INDI_ORIG;103.104080859;M
2011-12;P;61593;ES61;277796;INDI_ORIG;100.953501916;M
2011-12;P;61594;ES61;277796;INDI_ORIG;99.886473253;M
2011-12;P;61595;ES61;277796;INDI_ORIG;101.388304898;M
2012-01;P;61592;ES61;277796;INDI_ORIG;103.754122067;M
2012-01;P;61593;ES61;277796;INDI_ORIG;101.662341028;M
2012-01;P;61594;ES61;277796;INDI_ORIG;100.858907299;M
2012-01;P;61595;ES61;277796;INDI_ORIG;102.472159707;M
2012-02;P;61592;ES61;277796;INDI_ORIG;102.285462828;M
2012-02;P;61593;ES61;277796;INDI_ORIG;100.272511175;M
2012-02;P;61594;ES61;277796;INDI_ORIG;100.141934382;M
2012-02;P;61595;ES61;277796;INDI_ORIG;99.682558322;M
2012-03;P;61592;ES61;277796;INDI_ORIG;102.761527751;M
