TEMPORAL;OBS_STATUS;TIPO_VENTAS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2007-03;D;04;;INDI_CIFR_NEGO;120.934328122;M
2007-03;D;05;;INDI_CIFR_NEGO;115.331612407;M
2007-03;D;06;;INDI_CIFR_NEGO;128.117567206;M
2007-03;D;07;;INDI_CIFR_NEGO;159.496445262;M
2007-03;D;08;;INDI_CIFR_NEGO;128.92152686;M
2007-04;D;01;;INDI_CIFR_NEGO;123.927406863;M
2007-04;D;02;;INDI_CIFR_NEGO;123.226660577;M
2007-04;D;03;;INDI_CIFR_NEGO;126.004351357;M
2007-04;D;04;;INDI_CIFR_NEGO;112.363763259;M
2007-04;D;05;;INDI_CIFR_NEGO;130.374317617;M
2007-04;D;06;;INDI_CIFR_NEGO;121.833616757;M
2007-04;D;07;;INDI_CIFR_NEGO;155.189425672;M
2007-04;D;08;;INDI_CIFR_NEGO;128.507389733;M
2007-05;D;01;;INDI_CIFR_NEGO;134.56903647;M
2007-05;D;02;;INDI_CIFR_NEGO;134.724922109;M
2007-05;D;03;;INDI_CIFR_NEGO;134.510904256;M
2007-05;D;04;;INDI_CIFR_NEGO;118.018056198;M
2007-05;D;05;;INDI_CIFR_NEGO;130.073810608;M
2007-05;D;06;;INDI_CIFR_NEGO;129.746105604;M
2007-05;D;07;;INDI_CIFR_NEGO;166.069786293;M
2007-05;D;08;;INDI_CIFR_NEGO;158.753982271;M
2007-06;D;01;;INDI_CIFR_NEGO;136.989418684;M
2007-06;D;02;;INDI_CIFR_NEGO;137.038453851;M
2007-06;D;03;;INDI_CIFR_NEGO;137.206937421;M
2007-06;D;04;;INDI_CIFR_NEGO;120.417861475;M
2007-06;D;05;;INDI_CIFR_NEGO;138.682277786;M
2007-06;D;06;;INDI_CIFR_NEGO;127.8227857;M
2007-06;D;07;;INDI_CIFR_NEGO;174.17813602;M
2007-06;D;08;;INDI_CIFR_NEGO;151.049861113;M
2007-07;D;01;;INDI_CIFR_NEGO;143.390402071;M
2007-07;D;02;;INDI_CIFR_NEGO;141.104374778;M
2007-07;D;03;;INDI_CIFR_NEGO;149.51605614;M
2007-07;D;04;;INDI_CIFR_NEGO;119.314228279;M
2007-07;D;05;;INDI_CIFR_NEGO;157.960042375;M
2007-07;D;06;;INDI_CIFR_NEGO;127.932260451;M
2007-07;D;07;;INDI_CIFR_NEGO;217.317378023;M
2007-07;D;08;;INDI_CIFR_NEGO;167.524686642;M
2007-08;D;01;;INDI_CIFR_NEGO;125.711213842;M
2007-08;D;02;;INDI_CIFR_NEGO;124.023015058;M
2007-08;D;03;;INDI_CIFR_NEGO;130.284294442;M
2007-08;D;04;;INDI_CIFR_NEGO;108.928062076;M
2007-08;D;05;;INDI_CIFR_NEGO;169.949227493;M
2007-08;D;06;;INDI_CIFR_NEGO;114.493145383;M
2007-08;D;07;;INDI_CIFR_NEGO;118.850009875;M
2007-08;D;08;;INDI_CIFR_NEGO;152.371072225;M
2007-09;D;01;;INDI_CIFR_NEGO;124.176184561;M
2007-09;D;02;;INDI_CIFR_NEGO;121.425342636;M
2007-09;D;03;;INDI_CIFR_NEGO;131.426866485;M
2007-09;D;04;;INDI_CIFR_NEGO;111.470890552;M
2007-09;D;05;;INDI_CIFR_NEGO;141.351602465;M
2007-09;D;06;;INDI_CIFR_NEGO;122.818603997;M
2007-09;D;07;;INDI_CIFR_NEGO;146.3814529;M
