D_TEMPORAL_0;D_ESTADO_DATO_0;D_ICMA_TIPINDOCUPAC_0;D_TERRITORIO_0;D_IVGS_SERIEIVGS_0;INDICATOR;OBS_VALUE;FREQ
2014-05;40123;61597;3143;277795;Índice de empleo;98.69708601;M
2014-06;40123;61596;3143;277795;Índice de empleo;100.15620331;M
2014-06;40123;61597;3143;277795;Índice de empleo;100.00580818;M
2014-07;40123;61596;3143;277795;Índice de empleo;100.58253779;M
2014-07;40123;61597;3143;277795;Índice de empleo;100.39129786;M
2014-08;40123;61596;3143;277795;Índice de empleo;101.02755756;M
2014-08;40123;61597;3143;277795;Índice de empleo;100.82479619;M
2014-09;40123;61596;3143;277795;Índice de empleo;99.9579716;M
2014-09;40123;61597;3143;277795;Índice de empleo;99.83055617;M
2014-10;40123;61596;3143;277795;Índice de empleo;99.44767706;M
2014-10;40123;61597;3143;277795;Índice de empleo;99.35755885;M
2014-11;40123;61596;3143;277795;Índice de empleo;99.28430884;M
2014-11;40123;61597;3143;277795;Índice de empleo;99.25054493;M
2014-12;40123;61596;3143;277795;Índice de empleo;100.18103083;M
2014-12;40123;61597;3143;277795;Índice de empleo;100.20701143;M
2015-01;40123;61596;3143;277795;Índice de empleo;98.87722608;M
2015-01;40123;61597;3143;277795;Índice de empleo;98.88907604;M
2015-02;40123;61596;3143;277795;Índice de empleo;97.79183734;M
2015-02;40123;61597;3143;277795;Índice de empleo;97.7805798;M
2015-03;40123;61596;3143;277795;Índice de empleo;98.09505009;M
2015-03;40123;61597;3143;277795;Índice de empleo;98.06886353;M
2015-04;40123;61596;3143;277795;Índice de empleo;99.07493245;M
2015-04;40123;61597;3143;277795;Índice de empleo;99.089801;M
2015-05;40123;61596;3143;277795;Índice de empleo;99.57161762;M
2015-05;40123;61597;3143;277795;Índice de empleo;99.59166712;M
2015-06;40123;61596;3143;277795;Índice de empleo;100.34146108;M
2015-06;40123;61597;3143;277795;Índice de empleo;100.34494532;M
2015-07;40123;61596;3143;277795;Índice de empleo;101.53699132;M
2015-07;40123;61597;3143;277795;Índice de empleo;101.504578;M
2015-08;40123;61596;3143;277795;Índice de empleo;101.95035969;M
2015-08;40123;61597;3143;277795;Índice de empleo;101.89688901;M
2015-09;40123;61596;3143;277795;Índice de empleo;100.60634681;M
2015-09;40123;61597;3143;277795;Índice de empleo;100.56768639;M
2015-10;40123;61596;3143;277795;Índice de empleo;100.44147676;M
2015-10;40123;61597;3143;277795;Índice de empleo;100.44604673;M
2015-11;40123;61596;3143;277795;Índice de empleo;100.19402319;M
2015-11;40123;61597;3143;277795;Índice de empleo;100.24585022;M
2015-12;40123;61596;3143;277795;Índice de empleo;101.51867757;M
2015-12;40123;61597;3143;277795;Índice de empleo;101.57401685;M
2016-01;40123;61596;3143;277795;Índice de empleo;99.84700115;M
2016-01;40123;61597;3143;277795;Índice de empleo;99.96283861;M
2016-02;40123;61596;3143;277795;Índice de empleo;98.77127438;M
2016-02;40123;61597;3143;277795;Índice de empleo;98.86152613;M
2016-03;40123;61596;3143;277795;Índice de empleo;99.26037377;M
2016-03;40123;61597;3143;277795;Índice de empleo;99.33894186;M
2016-04;40123;61596;3143;277795;Índice de empleo;99.83780554;M
2016-04;40123;61597;3143;277795;Índice de empleo;99.91836799;M
2016-05;40123;61596;3143;277795;Índice de empleo;100.42705529;M
2016-05;40123;61597;3143;277795;Índice de empleo;100.47645659;M
2016-06;40123;61596;3143;277795;Índice de empleo;101.80261796;M
2016-06;40123;61597;3143;277795;Índice de empleo;101.83296999;M
2016-07;40123;61596;3143;277795;Índice de empleo;103.10670541;M
2016-07;40123;61597;3143;277795;Índice de empleo;103.05323333;M
2016-08;40123;61596;3143;277795;Índice de empleo;102.77605408;M
2016-08;40123;61597;3143;277795;Índice de empleo;102.69888863;M
2016-09;40123;61596;3143;277795;Índice de empleo;101.39469679;M
2016-09;40123;61597;3143;277795;Índice de empleo;101.35164202;M
2016-10;40123;61596;3143;277795;Índice de empleo;100.80299025;M
2016-10;40123;61597;3143;277795;Índice de empleo;100.79439848;M
2016-11;40123;61596;3143;277795;Índice de empleo;101.82050103;M
2016-11;40123;61597;3143;277795;Índice de empleo;101.89562579;M
2016-12;40123;61596;3143;277795;Índice de empleo;103.02902273;M
2016-12;40123;61597;3143;277795;Índice de empleo;103.11335766;M
2017-01;40123;61596;3143;277795;Índice de empleo;100.79442242;M
2017-01;40123;61597;3143;277795;Índice de empleo;100.84241621;M
2017-02;40123;61596;3143;277795;Índice de empleo;100.00717045;M
2017-02;40123;61597;3143;277795;Índice de empleo;100.04405048;M
2017-03;40123;61596;3143;277795;Índice de empleo;100.326461;M
2017-03;40123;61597;3143;277795;Índice de empleo;100.33938031;M
2017-04;40123;61596;3143;277795;Índice de empleo;101.10283281;M
2017-04;40123;61597;3143;277795;Índice de empleo;101.08058861;M
2017-05;40123;61596;3143;277795;Índice de empleo;101.09315279;M
2017-05;40123;61597;3143;277795;Índice de empleo;101.04961574;M
2017-06;40123;61596;3143;277795;Índice de empleo;102.5091142;M
2017-06;40123;61597;3143;277795;Índice de empleo;102.46556041;M
2017-07;40123;61596;3143;277795;Índice de empleo;102.23473468;M
2017-07;40123;61597;3143;277795;Índice de empleo;102.09798293;M
2017-08;40123;61596;3143;277795;Índice de empleo;101.92473737;M
2017-08;40123;61597;3143;277795;Índice de empleo;101.76058875;M
2017-09;40123;61596;3143;277795;Índice de empleo;100.73463354;M
2017-09;40123;61597;3143;277795;Índice de empleo;100.60200147;M
2017-10;40123;61596;3143;277795;Índice de empleo;100.33395019;M
2017-10;40123;61597;3143;277795;Índice de empleo;100.2541061;M
2017-11;40123;61596;3143;277795;Índice de empleo;101.18719769;M
2017-11;40123;61597;3143;277795;Índice de empleo;101.18170289;M
2017-12;40123;61596;3143;277795;Índice de empleo;102.39606183;M
2017-12;40123;61597;3143;277795;Índice de empleo;102.41189772;M
2018-01;40123;61596;3143;277795;Índice de empleo;100.58415686;M
2018-01;40123;61597;3143;277795;Índice de empleo;100.58770912;M
2018-02;40123;61596;3143;277795;Índice de empleo;99.7435752;M
2018-02;40123;61597;3143;277795;Índice de empleo;99.71600418;M
2018-03;40123;61596;3143;277795;Índice de empleo;100.02467129;M
2018-03;40123;61597;3143;277795;Índice de empleo;99.97812833;M
2018-04;40123;61596;3143;277795;Índice de empleo;100.1232826;M
2018-04;40123;61597;3143;277795;Índice de empleo;100.02043384;M
2018-05;40123;61596;3143;277795;Índice de empleo;100.37074942;M
2018-05;40123;61597;3143;277795;Índice de empleo;100.2529623;M
2018-06;40123;61596;3143;277795;Índice de empleo;102.15176346;M
2018-06;40123;61597;3143;277795;Índice de empleo;102.02708654;M
2018-07;40123;61596;3143;277795;Índice de empleo;102.90839946;M
2018-07;40123;61597;3143;277795;Índice de empleo;102.71435002;M
2018-08;40123;61596;3143;277795;Índice de empleo;102.34319092;M
2018-08;40123;61597;3143;277795;Índice de empleo;102.09671068;M
2018-09;40123;61596;3143;277795;Índice de empleo;101.18639962;M
2018-09;40123;61597;3143;277795;Índice de empleo;100.97042486;M
2018-10;40123;61596;3143;277795;Índice de empleo;101.10279965;M
2018-10;40123;61597;3143;277795;Índice de empleo;100.94935173;M
2018-11;40123;61596;3143;277795;Índice de empleo;102.095584571;M
2018-11;40123;61597;3143;277795;Índice de empleo;102.023187444;M
2018-12;40123;61596;3143;277795;Índice de empleo;103.087214154;M
2018-12;40123;61597;3143;277795;Índice de empleo;103.032507066;M
2019-01;40123;61596;3143;277795;Índice de empleo;101.261385975;M
2019-01;40123;61597;3143;277795;Índice de empleo;101.201440111;M
2019-02;40123;61596;3143;277795;Índice de empleo;100.741737866;M
2019-02;40123;61597;3143;277795;Índice de empleo;100.660894651;M
2019-03;40123;61596;3143;277795;Índice de empleo;100.432923852;M
2019-03;40123;61597;3143;277795;Índice de empleo;100.320187759;M
2019-04;40123;61596;3143;277795;Índice de empleo;101.184331517;M
2019-04;40123;61597;3143;277795;Índice de empleo;101.036458933;M
2019-05;40123;61596;3143;277795;Índice de empleo;101.076991006;M
2019-05;40123;61597;3143;277795;Índice de empleo;100.894416784;M
2019-06;40123;61596;3143;277795;Índice de empleo;103.038759818;M
2019-06;40123;61597;3143;277795;Índice de empleo;102.817645566;M
2019-07;40123;61596;3143;277795;Índice de empleo;103.68752315;M
2019-07;40123;61597;3143;277795;Índice de empleo;103.416854096;M
2019-08;40123;61596;3143;277795;Índice de empleo;103.438842134;M
2019-08;40123;61597;3143;277795;Índice de empleo;103.113447174;M
2019-09;40123;61596;3143;277795;Índice de empleo;101.890088452;M
2019-09;40123;61597;3143;277795;Índice de empleo;101.580947461;M
2019-10;40123;61596;3143;277795;Índice de empleo;101.648581551;M
2019-10;40123;61597;3143;277795;Índice de empleo;101.39563804;M
2019-11;40123;61596;3143;277795;Índice de empleo;102.614974964;M
2019-11;40123;61597;3143;277795;Índice de empleo;102.438361285;M
2019-12;40123;61596;3143;277795;Índice de empleo;103.90543886;M
2019-12;40123;61597;3143;277795;Índice de empleo;103.750057824;M
2020-01;40123;61596;3143;277795;Índice de empleo;102.01683255;M
2020-01;40123;61597;3143;277795;Índice de empleo;101.841578945;M
2020-02;40123;61596;3143;277795;Índice de empleo;101.38704167;M
2020-02;40123;61597;3143;277795;Índice de empleo;101.181286748;M
2020-03;40123;61596;3143;277795;Índice de empleo;99.838651432;M
2020-03;40123;61597;3143;277795;Índice de empleo;99.619495044;M
2020-04;40123;61596;3143;277795;Índice de empleo;98.033639313;M
2020-04;40123;61597;3143;277795;Índice de empleo;97.831547669;M
