TEMPORAL;SEXO;TERRITORIO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;ANDALUCES;3566.8685916;A
;;;;ANDALUCES;552.5037806;A
;;;;ANDALUCES;473.9497344;A
;;;;ANDALUCES;6954.8771928;A
;;;;ANDALUCES;516.176174;A
;;;;ANDALUCES;2003.2854535;A
;;;;ANDALUCES;3759.1281672;A
;;;;ANDALUCES;3041.9974918;A
;;;;ANDALUCES;1368.8459081;A
;;;;ANDALUCES;5067.0564536;A
;;;;ANDALUCES;4322.7566723;A
;;;;ANDALUCES;2166.4131348;A
;;;;ANDALUCES;22245.6594553;A
;;3529;;ANDALUCES;42.8594885;A
;;3529;;ANDALUCES;186.4191658;A
;;3529;;ANDALUCES;215.6040504;A
;;3529;;ANDALUCES;204.8989824;A
;;3529;;ANDALUCES;73.0239365;A
;;3529;;ANDALUCES;539.4842098;A
;;3529;;ANDALUCES;185.3072848;A
;;3529;;ANDALUCES;275.7215785;A
;;3529;;ANDALUCES;1723.3186967;A
;;;;ANDALUCES;962.0;A
;;;;ANDALUCES;2006.0;A
;;;;ANDALUCES;409.0;A
;;;;ANDALUCES;933.0;A
;;;;ANDALUCES;179.0;A
;;;;ANDALUCES;308.0;A
;;;;ANDALUCES;2369.0;A
;;;;ANDALUCES;654.0;A
;;;;ANDALUCES;7820.0;A
;;;;ANDALUCES;77104.0917985;A
;;;;ANDALUCES;67078.7194875;A
;;;;ANDALUCES;158376.242486;A
;;;;ANDALUCES;149627.0648932;A
;;;;ANDALUCES;32543.5852608;A
;;;;ANDALUCES;199240.4860894;A
;;;;ANDALUCES;77733.1541579;A
;;;;ANDALUCES;109389.6474678;A
;;;;ANDALUCES;871092.9916411;A
1999;;;;ANDALUCES;1711.1876714;A
1999;;;;ANDALUCES;2478.7696019;A
1999;;;;ANDALUCES;6853.9549624;A
1999;;;;ANDALUCES;4019.2454149;A
1999;;;;ANDALUCES;800.9698879;A
1999;;;;ANDALUCES;5794.6658519;A
1999;;;;ANDALUCES;2543.3863323;A
1999;;;;ANDALUCES;3314.3974215;A
1999;;;;ANDALUCES;27516.5771442;A
1999;;;;ANDALUCES;434.9349072;A
1999;;;;ANDALUCES;913.9809662;A
1999;;;;ANDALUCES;3182.2617185;A
1999;;;;ANDALUCES;1786.7860212;A
1999;;;;ANDALUCES;574.8469878;A
1999;;;;ANDALUCES;3166.7147118;A
