TEMPORAL;TERRITORIO;ARE_INSCRIPCION;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;402.0;A
;;;;;ANDALUCES;53.0;A
;;;;;ANDALUCES;486.0;A
;;;;;ANDALUCES;941.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;212.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;221.0;A
;;;;;ANDALUCES;28.0;A
;;;;;ANDALUCES;260.0;A
;;;;;ANDALUCES;509.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;175.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;181.0;A
;;;;;ANDALUCES;25.0;A
;;;;;ANDALUCES;226.0;A
;;;;;ANDALUCES;432.0;A
;;;;;ANDALUCES;8.0;A
;;;;;ANDALUCES;52.0;A
;;;;;ANDALUCES;28.0;A
;;;;;ANDALUCES;46.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;27.0;A
;;;;;ANDALUCES;1538.0;A
;;;;;ANDALUCES;29.0;A
;;;;;ANDALUCES;1731.0;A
;;;;;ANDALUCES;303.0;A
;;;;;ANDALUCES;3155.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;5191.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;26.0;A
;;;;;ANDALUCES;14.0;A
;;;;;ANDALUCES;27.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;13.0;A
;;;;;ANDALUCES;775.0;A
;;;;;ANDALUCES;15.0;A
;;;;;ANDALUCES;878.0;A
;;;;;ANDALUCES;168.0;A
;;;;;ANDALUCES;1619.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;2666.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;26.0;A
;;;;;ANDALUCES;14.0;A
;;;;;ANDALUCES;19.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;14.0;A
;;;;;ANDALUCES;763.0;A
;;;;;ANDALUCES;14.0;A
;;;;;ANDALUCES;853.0;A
;;;;;ANDALUCES;135.0;A
;;;;;ANDALUCES;1536.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;2525.0;A
;;;;;ANDALUCES;9.0;A
;;;;;ANDALUCES;49.0;A
;;;;;ANDALUCES;26.0;A
;;;;;ANDALUCES;16.0;A
;;;;;ANDALUCES;25.0;A
;;;;;ANDALUCES;19.0;A
;;;;;ANDALUCES;23.0;A
;;;;;ANDALUCES;1542.0;A
;;;;;ANDALUCES;1709.0;A
;;;;;ANDALUCES;234.0;A
;;;;;ANDALUCES;1659.0;A
;;;;;ANDALUCES;3602.0;A
;;;;;ANDALUCES;7.0;A
;;;;;ANDALUCES;23.0;A
;;;;;ANDALUCES;14.0;A
;;;;;ANDALUCES;11.0;A
;;;;;ANDALUCES;9.0;A
;;;;;ANDALUCES;8.0;A
;;;;;ANDALUCES;10.0;A
;;;;;ANDALUCES;791.0;A
;;;;;ANDALUCES;873.0;A
;;;;;ANDALUCES;124.0;A
;;;;;ANDALUCES;816.0;A
;;;;;ANDALUCES;1813.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;26.0;A
;;;;;ANDALUCES;12.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;16.0;A
;;;;;ANDALUCES;11.0;A
;;;;;ANDALUCES;13.0;A
;;;;;ANDALUCES;751.0;A
;;;;;ANDALUCES;836.0;A
;;;;;ANDALUCES;110.0;A
;;;;;ANDALUCES;843.0;A
;;;;;ANDALUCES;1789.0;A
;;;;;ANDALUCES;608.0;A
;;;;;ANDALUCES;1280.0;A
;;;;;ANDALUCES;697.0;A
;;;;;ANDALUCES;1016.0;A
;;;;;ANDALUCES;299.0;A
;;;;;ANDALUCES;482.0;A
;;;;;ANDALUCES;1608.0;A
;;;;;ANDALUCES;1649.0;A
;;;;;ANDALUCES;7639.0;A
;;;;;ANDALUCES;1135.0;A
;;;;;ANDALUCES;10854.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;19631.0;A
;;;;;ANDALUCES;314.0;A
;;;;;ANDALUCES;640.0;A
;;;;;ANDALUCES;356.0;A
;;;;;ANDALUCES;520.0;A
;;;;;ANDALUCES;144.0;A
;;;;;ANDALUCES;257.0;A
;;;;;ANDALUCES;805.0;A
;;;;;ANDALUCES;843.0;A
;;;;;ANDALUCES;3879.0;A
;;;;;ANDALUCES;614.0;A
;;;;;ANDALUCES;5385.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;9880.0;A
;;;;;ANDALUCES;294.0;A
;;;;;ANDALUCES;640.0;A
;;;;;ANDALUCES;341.0;A
;;;;;ANDALUCES;496.0;A
;;;;;ANDALUCES;155.0;A
;;;;;ANDALUCES;225.0;A
;;;;;ANDALUCES;803.0;A
;;;;;ANDALUCES;806.0;A
;;;;;ANDALUCES;3760.0;A
;;;;;ANDALUCES;521.0;A
;;;;;ANDALUCES;5469.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;9751.0;A
;;;;;ANDALUCES;105.0;A
;;;;;ANDALUCES;254.0;A
;;;;;ANDALUCES;133.0;A
;;;;;ANDALUCES;199.0;A
;;;;;ANDALUCES;44.0;A
;;;;;ANDALUCES;168.0;A
;;;;;ANDALUCES;210.0;A
;;;;;ANDALUCES;239.0;A
;;;;;ANDALUCES;1352.0;A
;;;;;ANDALUCES;1352.0;A
;;;;;ANDALUCES;60.0;A
;;;;;ANDALUCES;141.0;A
;;;;;ANDALUCES;78.0;A
;;;;;ANDALUCES;108.0;A
;;;;;ANDALUCES;26.0;A
;;;;;ANDALUCES;100.0;A
;;;;;ANDALUCES;114.0;A
;;;;;ANDALUCES;132.0;A
;;;;;ANDALUCES;759.0;A
;;;;;ANDALUCES;759.0;A
;;;;;ANDALUCES;45.0;A
;;;;;ANDALUCES;113.0;A
;;;;;ANDALUCES;55.0;A
;;;;;ANDALUCES;91.0;A
;;;;;ANDALUCES;18.0;A
;;;;;ANDALUCES;68.0;A
;;;;;ANDALUCES;96.0;A
;;;;;ANDALUCES;107.0;A
