TEMPORAL;EDAD;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;ANDALUCES;3851.5952323;A
;;;;ANDALUCES;1586.6736682;A
;;;;ANDALUCES;5415.4413967;A
;;;;ANDALUCES;4547.4203389;A
;;;;ANDALUCES;1072.9904013;A
;;;;ANDALUCES;6704.4830894;A
;;;;ANDALUCES;2668.1568385;A
;;;;ANDALUCES;2761.5431533;A
;;;;ANDALUCES;28608.3041186;A
;;;;ANDALUCES;5867.9747224;A
;;;;ANDALUCES;2605.117918;A
;;;;ANDALUCES;8231.3820168;A
;;;;ANDALUCES;6661.7619487;A
;;;;ANDALUCES;1757.2160033;A
;;;;ANDALUCES;10267.1052457;A
;;;;ANDALUCES;4161.3463045;A
;;;;ANDALUCES;3977.7767465;A
;;;;ANDALUCES;43529.6809059;A
;;;;ANDALUCES;6224.1580731;A
;;;;ANDALUCES;2551.3276799;A
;;;;ANDALUCES;7888.7640035;A
;;;;ANDALUCES;6358.2763615;A
;;;;ANDALUCES;1879.8454606;A
;;;;ANDALUCES;9625.6971427;A
;;;;ANDALUCES;4126.5597121;A
;;;;ANDALUCES;3872.7812493;A
;;;;ANDALUCES;42527.4096827;A
;;;;ANDALUCES;2126.5465774;A
;;;;ANDALUCES;885.7636274;A
;;;;ANDALUCES;2698.953118;A
;;;;ANDALUCES;2314.0572728;A
;;;;ANDALUCES;613.8390333;A
;;;;ANDALUCES;3266.1882005;A
;;;;ANDALUCES;1458.0922625;A
;;;;ANDALUCES;1386.3698518;A
;;;;ANDALUCES;14749.8099437;A
;;;;ANDALUCES;4097.6114957;A
;;;;ANDALUCES;1665.5640525;A
;;;;ANDALUCES;5189.8108855;A
;;;;ANDALUCES;4044.2190887;A
;;;;ANDALUCES;1266.0064273;A
;;;;ANDALUCES;6359.5089422;A
;;;;ANDALUCES;2668.4674496;A
;;;;ANDALUCES;2486.4113975;A
;;;;ANDALUCES;27777.599739;A
;;;;ANDALUCES;5080.1430234;A
;;;;ANDALUCES;1948.4518933;A
;;;;ANDALUCES;5621.0534819;A
;;;;ANDALUCES;4463.9891991;A
;;;;ANDALUCES;1360.7729633;A
;;;;ANDALUCES;6838.1685023;A
;;;;ANDALUCES;2947.316041;A
;;;;ANDALUCES;2676.297378;A
;;;;ANDALUCES;30936.1924823;A
;;;;ANDALUCES;1375.4524673;A
;;;;ANDALUCES;488.8110213;A
;;;;ANDALUCES;1622.0258875;A
;;;;ANDALUCES;1288.5439418;A
;;;;ANDALUCES;334.4306272;A
;;;;ANDALUCES;1961.9276833;A
;;;;ANDALUCES;791.7492213;A
;;;;ANDALUCES;753.5173032;A
;;;;ANDALUCES;8616.4581529;A
;;;;ANDALUCES;3704.6905561;A
;;;;ANDALUCES;1459.640872;A
;;;;ANDALUCES;3999.0275944;A
;;;;ANDALUCES;3175.4452573;A
;;;;ANDALUCES;1026.3423361;A
;;;;ANDALUCES;4876.240819;A
;;;;ANDALUCES;2155.5668197;A
;;;;ANDALUCES;1922.7800748;A
;;;;ANDALUCES;22319.7343294;A
1999;;;;ANDALUCES;140735.5588643;A
1999;;;;ANDALUCES;131875.6482954;A
1999;;;;ANDALUCES;303019.3544011;A
1999;;;;ANDALUCES;288541.6475556;A
1999;;;;ANDALUCES;61477.8236603;A
1999;;;;ANDALUCES;379768.8628222;A
1999;;;;ANDALUCES;149356.8843113;A
1999;;;;ANDALUCES;213391.8908155;A
1999;;;;ANDALUCES;1668167.6707257;A
1999;;;;ANDALUCES;64502.3008553;A
1999;;;;ANDALUCES;64059.0043759;A
1999;;;;ANDALUCES;144843.9625555;A
1999;;;;ANDALUCES;139046.2091457;A
1999;;;;ANDALUCES;29101.8572026;A
1999;;;;ANDALUCES;181261.3674792;A
1999;;;;ANDALUCES;72096.8558819;A
1999;;;;ANDALUCES;103537.4281505;A
1999;;;;ANDALUCES;798448.9856466;A
1999;;;;ANDALUCES;76233.258009;A
1999;;;;ANDALUCES;67816.6439195;A
1999;;;;ANDALUCES;158175.3918456;A
1999;;;;ANDALUCES;149495.4384099;A
1999;;;;ANDALUCES;32375.9664577;A
1999;;;;ANDALUCES;198507.495343;A
1999;;;;ANDALUCES;77260.0284294;A
1999;;;;ANDALUCES;109854.462665;A
1999;;;;ANDALUCES;869718.6850791;A
1999;;;;ANDALUCES;330.5096289;A
1999;;;;ANDALUCES;1163.170948;A
1999;;;;ANDALUCES;632.0743391;A
1999;;;;ANDALUCES;924.4200614;A
1999;;;;ANDALUCES;187.2094632;A
1999;;;;ANDALUCES;593.5164209;A
1999;;;;ANDALUCES;877.2771642;A
1999;;;;ANDALUCES;1164.4328014;A
1999;;;;ANDALUCES;5872.6108271;A
1999;;;;ANDALUCES;159.5221431;A
1999;;;;ANDALUCES;531.884538;A
1999;;;;ANDALUCES;322.3556635;A
1999;;;;ANDALUCES;483.9223769;A
1999;;;;ANDALUCES;104.2577837;A
1999;;;;ANDALUCES;314.6839218;A
1999;;;;ANDALUCES;488.3331088;A
1999;;;;ANDALUCES;577.3532118;A
1999;;;;ANDALUCES;2982.3127476;A
1999;;;;ANDALUCES;170.9874858;A
1999;;;;ANDALUCES;631.28641;A
1999;;;;ANDALUCES;309.7186756;A
1999;;;;ANDALUCES;440.4976845;A
1999;;;;ANDALUCES;82.9516795;A
1999;;;;ANDALUCES;278.8324991;A
1999;;;;ANDALUCES;388.9440554;A
1999;;;;ANDALUCES;587.0795896;A
1999;;;;ANDALUCES;2890.2980795;A
1999;;;;ANDALUCES;708.4448786;A
1999;;;;ANDALUCES;2182.7762441;A
1999;;;;ANDALUCES;1494.8122127;A
1999;;;;ANDALUCES;1868.865296;A
1999;;;;ANDALUCES;398.1483455;A
1999;;;;ANDALUCES;1476.4254598;A
1999;;;;ANDALUCES;1525.982624;A
1999;;;;ANDALUCES;2475.2370603;A
1999;;;;ANDALUCES;12130.692121;A
1999;;;;ANDALUCES;378.6716562;A
1999;;;;ANDALUCES;1143.0165589;A
1999;;;;ANDALUCES;765.5963537;A
1999;;;;ANDALUCES;945.0105197;A
1999;;;;ANDALUCES;198.1090424;A
1999;;;;ANDALUCES;759.7284009;A
1999;;;;ANDALUCES;792.4957216;A
1999;;;;ANDALUCES;1242.81179;A
1999;;;;ANDALUCES;6225.4400434;A
1999;;;;ANDALUCES;329.7732224;A
1999;;;;ANDALUCES;1039.7596852;A
1999;;;;ANDALUCES;729.215859;A
1999;;;;ANDALUCES;923.8547763;A
1999;;;;ANDALUCES;200.0393031;A
