TEMPORAL;TERRITORIO_1;TERRITORIO;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;;ANDALUCES;14.0;A
;;;;;ANDALUCES;158.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;296.0;A
;;;;;ANDALUCES;15.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;17.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;8.0;A
;;;;;ANDALUCES;28.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;32.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;34.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;35.0;A
;;;;;ANDALUCES;72.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;10.0;A
;;;;;ANDALUCES;119.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;148.0;A
;;;;;ANDALUCES;51.0;A
;;;;;ANDALUCES;219.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;419.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;114.0;A
;;;;;ANDALUCES;124.0;A
;;;;;ANDALUCES;30.0;A
;;;;;ANDALUCES;114.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;269.0;A
;;;;;ANDALUCES;35.0;A
;;;;;ANDALUCES;368.0;A
;;;;;ANDALUCES;293.0;A
;;;;;ANDALUCES;128.0;A
;;;;;ANDALUCES;33.0;A
;;;;;ANDALUCES;123.0;A
;;;;;ANDALUCES;293.0;A
;;;;;ANDALUCES;192.0;A
;;;;;ANDALUCES;1465.0;A
;;;;;ANDALUCES;84.0;A
;;;;;ANDALUCES;642.0;A
;;;;;ANDALUCES;55.0;A
;;;;;ANDALUCES;2246.0;A
;;;;;ANDALUCES;35.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;36.0;A
;;;;;ANDALUCES;17.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;56.0;A
;;;;;ANDALUCES;358.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;13.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;381.0;A
;;;;;ANDALUCES;20.0;A
;;;;;ANDALUCES;160.0;A
;;;;;ANDALUCES;13.0;A
;;;;;ANDALUCES;574.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;282.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;296.0;A
;;;;;ANDALUCES;11.0;A
;;;;;ANDALUCES;132.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;445.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;117.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;120.0;A
;;;;;ANDALUCES;9.0;A
;;;;;ANDALUCES;54.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;187.0;A
;;;;;ANDALUCES;30.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;31.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;39.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;118.0;A
;;;;;ANDALUCES;120.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;41.0;A
;;;;;ANDALUCES;7.0;A
;;;;;ANDALUCES;171.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;276.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;290.0;A
;;;;;ANDALUCES;30.0;A
;;;;;ANDALUCES;158.0;A
;;;;;ANDALUCES;16.0;A
;;;;;ANDALUCES;494.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;176.0;A
;;;;;ANDALUCES;191.0;A
;;;;;ANDALUCES;8.0;A
;;;;;ANDALUCES;75.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;280.0;A
;;;;;ANDALUCES;10406.0;A
;;;;;ANDALUCES;11012.0;A
;;;;;ANDALUCES;8404.0;A
;;;;;ANDALUCES;15033.0;A
;;;;;ANDALUCES;2915.0;A
;;;;;ANDALUCES;5462.0;A
;;;;;ANDALUCES;12674.0;A
;;;;;ANDALUCES;11699.0;A
;;;;;ANDALUCES;77605.0;A
;;;;;ANDALUCES;5586.0;A
;;;;;ANDALUCES;97191.0;A
;;;;;ANDALUCES;2546.0;A
;;;;;ANDALUCES;182928.0;A
;;;;;ANDALUCES;10218.0;A
;;;;;ANDALUCES;11.0;A
;;;;;ANDALUCES;18.0;A
;;;;;ANDALUCES;123.0;A
;;;;;ANDALUCES;7.0;A
;;;;;ANDALUCES;22.0;A
;;;;;ANDALUCES;32.0;A
;;;;;ANDALUCES;21.0;A
;;;;;ANDALUCES;10452.0;A
;;;;;ANDALUCES;523.0;A
;;;;;ANDALUCES;17002.0;A
;;;;;ANDALUCES;357.0;A
;;;;;ANDALUCES;28334.0;A
;;;;;ANDALUCES;16.0;A
;;;;;ANDALUCES;10441.0;A
;;;;;ANDALUCES;44.0;A
;;;;;ANDALUCES;61.0;A
;;;;;ANDALUCES;26.0;A
;;;;;ANDALUCES;32.0;A
;;;;;ANDALUCES;172.0;A
;;;;;ANDALUCES;230.0;A
;;;;;ANDALUCES;11022.0;A
;;;;;ANDALUCES;821.0;A
;;;;;ANDALUCES;10669.0;A
;;;;;ANDALUCES;263.0;A
;;;;;ANDALUCES;22775.0;A
;;;;;ANDALUCES;14.0;A
;;;;;ANDALUCES;15.0;A
;;;;;ANDALUCES;7942.0;A
;;;;;ANDALUCES;44.0;A
;;;;;ANDALUCES;11.0;A
;;;;;ANDALUCES;50.0;A
;;;;;ANDALUCES;25.0;A
;;;;;ANDALUCES;66.0;A
;;;;;ANDALUCES;8167.0;A
;;;;;ANDALUCES;387.0;A
;;;;;ANDALUCES;6904.0;A
;;;;;ANDALUCES;205.0;A
;;;;;ANDALUCES;15663.0;A
;;;;;ANDALUCES;75.0;A
;;;;;ANDALUCES;42.0;A
;;;;;ANDALUCES;35.0;A
;;;;;ANDALUCES;14478.0;A
;;;;;ANDALUCES;9.0;A
;;;;;ANDALUCES;126.0;A
;;;;;ANDALUCES;77.0;A
;;;;;ANDALUCES;51.0;A
;;;;;ANDALUCES;14893.0;A
;;;;;ANDALUCES;757.0;A
;;;;;ANDALUCES;20135.0;A
;;;;;ANDALUCES;582.0;A
;;;;;ANDALUCES;36367.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;16.0;A
;;;;;ANDALUCES;13.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;2694.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;72.0;A
;;;;;ANDALUCES;2811.0;A
;;;;;ANDALUCES;199.0;A
;;;;;ANDALUCES;2913.0;A
;;;;;ANDALUCES;59.0;A
;;;;;ANDALUCES;5982.0;A
;;;;;ANDALUCES;8.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;28.0;A
;;;;;ANDALUCES;49.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;5064.0;A
;;;;;ANDALUCES;16.0;A
;;;;;ANDALUCES;13.0;A
;;;;;ANDALUCES;5186.0;A
;;;;;ANDALUCES;203.0;A
;;;;;ANDALUCES;4553.0;A
