TEMPORAL;TERRITORIO;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;ANDALUCES;13.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;2694.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;72.0;A
;;;;ANDALUCES;2811.0;A
;;;;ANDALUCES;199.0;A
;;;;ANDALUCES;2913.0;A
;;;;ANDALUCES;59.0;A
;;;;ANDALUCES;5982.0;A
;;;;ANDALUCES;2.0;A
;;;;ANDALUCES;10.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;1338.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;39.0;A
;;;;ANDALUCES;1398.0;A
;;;;ANDALUCES;95.0;A
;;;;ANDALUCES;1463.0;A
;;;;ANDALUCES;29.0;A
;;;;ANDALUCES;2985.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;7.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;1356.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;33.0;A
;;;;ANDALUCES;1413.0;A
;;;;ANDALUCES;104.0;A
;;;;ANDALUCES;1450.0;A
;;;;ANDALUCES;30.0;A
;;;;ANDALUCES;2997.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;28.0;A
;;;;ANDALUCES;49.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;5064.0;A
;;;;ANDALUCES;16.0;A
;;;;ANDALUCES;13.0;A
;;;;ANDALUCES;5186.0;A
;;;;ANDALUCES;203.0;A
;;;;ANDALUCES;4553.0;A
;;;;ANDALUCES;160.0;A
;;;;ANDALUCES;10102.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;16.0;A
;;;;ANDALUCES;20.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;2480.0;A
;;;;ANDALUCES;11.0;A
;;;;ANDALUCES;7.0;A
;;;;ANDALUCES;2542.0;A
;;;;ANDALUCES;110.0;A
;;;;ANDALUCES;2298.0;A
;;;;ANDALUCES;75.0;A
;;;;ANDALUCES;5025.0;A
;;;;ANDALUCES;2.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;12.0;A
;;;;ANDALUCES;29.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;2584.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;2644.0;A
;;;;ANDALUCES;93.0;A
;;;;ANDALUCES;2255.0;A
;;;;ANDALUCES;85.0;A
;;;;ANDALUCES;5077.0;A
;;;;ANDALUCES;36.0;A
;;;;ANDALUCES;268.0;A
;;;;ANDALUCES;191.0;A
;;;;ANDALUCES;194.0;A
;;;;ANDALUCES;14.0;A
;;;;ANDALUCES;99.0;A
;;;;ANDALUCES;12249.0;A
;;;;ANDALUCES;172.0;A
;;;;ANDALUCES;13223.0;A
;;;;ANDALUCES;1677.0;A
;;;;ANDALUCES;21999.0;A
;;;;ANDALUCES;545.0;A
;;;;ANDALUCES;37444.0;A
;;;;ANDALUCES;23.0;A
;;;;ANDALUCES;126.0;A
;;;;ANDALUCES;87.0;A
;;;;ANDALUCES;85.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;46.0;A
;;;;ANDALUCES;5967.0;A
;;;;ANDALUCES;91.0;A
;;;;ANDALUCES;6433.0;A
;;;;ANDALUCES;789.0;A
;;;;ANDALUCES;11038.0;A
;;;;ANDALUCES;284.0;A
;;;;ANDALUCES;18544.0;A
;;;;ANDALUCES;13.0;A
;;;;ANDALUCES;142.0;A
;;;;ANDALUCES;104.0;A
;;;;ANDALUCES;109.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;53.0;A
;;;;ANDALUCES;6282.0;A
;;;;ANDALUCES;81.0;A
;;;;ANDALUCES;6790.0;A
;;;;ANDALUCES;888.0;A
;;;;ANDALUCES;10961.0;A
;;;;ANDALUCES;261.0;A
;;;;ANDALUCES;18900.0;A
;;;;ANDALUCES;36.0;A
;;;;ANDALUCES;215.0;A
;;;;ANDALUCES;133.0;A
;;;;ANDALUCES;79.0;A
;;;;ANDALUCES;150.0;A
;;;;ANDALUCES;65.0;A
;;;;ANDALUCES;99.0;A
;;;;ANDALUCES;11074.0;A
;;;;ANDALUCES;11851.0;A
;;;;ANDALUCES;1019.0;A
;;;;ANDALUCES;13016.0;A
;;;;ANDALUCES;375.0;A
;;;;ANDALUCES;26261.0;A
;;;;ANDALUCES;22.0;A
;;;;ANDALUCES;110.0;A
;;;;ANDALUCES;71.0;A
;;;;ANDALUCES;39.0;A
;;;;ANDALUCES;64.0;A
;;;;ANDALUCES;34.0;A
;;;;ANDALUCES;42.0;A
;;;;ANDALUCES;5294.0;A
;;;;ANDALUCES;5676.0;A
;;;;ANDALUCES;497.0;A
;;;;ANDALUCES;6527.0;A
;;;;ANDALUCES;177.0;A
;;;;ANDALUCES;12877.0;A
;;;;ANDALUCES;14.0;A
;;;;ANDALUCES;105.0;A
;;;;ANDALUCES;62.0;A
;;;;ANDALUCES;40.0;A
;;;;ANDALUCES;86.0;A
;;;;ANDALUCES;31.0;A
;;;;ANDALUCES;57.0;A
;;;;ANDALUCES;5780.0;A
;;;;ANDALUCES;6175.0;A
;;;;ANDALUCES;522.0;A
;;;;ANDALUCES;6489.0;A
;;;;ANDALUCES;198.0;A
;;;;ANDALUCES;13384.0;A
;;;;ANDALUCES;10429.0;A
;;;;ANDALUCES;11133.0;A
;;;;ANDALUCES;8417.0;A
;;;;ANDALUCES;15153.0;A
;;;;ANDALUCES;2949.0;A
;;;;ANDALUCES;5456.0;A
;;;;ANDALUCES;12995.0;A
;;;;ANDALUCES;11902.0;A
;;;;ANDALUCES;78434.0;A
;;;;ANDALUCES;5807.0;A
;;;;ANDALUCES;110502.0;A
;;;;ANDALUCES;2194.0;A
;;;;ANDALUCES;196937.0;A
;;;;ANDALUCES;4992.0;A
;;;;ANDALUCES;5300.0;A
;;;;ANDALUCES;4216.0;A
;;;;ANDALUCES;7390.0;A
;;;;ANDALUCES;1440.0;A
;;;;ANDALUCES;2664.0;A
;;;;ANDALUCES;6362.0;A
;;;;ANDALUCES;5684.0;A
;;;;ANDALUCES;38048.0;A
;;;;ANDALUCES;2801.0;A
;;;;ANDALUCES;54672.0;A
;;;;ANDALUCES;1113.0;A
;;;;ANDALUCES;96634.0;A
;;;;ANDALUCES;5437.0;A
;;;;ANDALUCES;5833.0;A
;;;;ANDALUCES;4201.0;A
;;;;ANDALUCES;7763.0;A
;;;;ANDALUCES;1509.0;A
;;;;ANDALUCES;2792.0;A
;;;;ANDALUCES;6633.0;A
;;;;ANDALUCES;6218.0;A
;;;;ANDALUCES;40386.0;A
;;;;ANDALUCES;3006.0;A
;;;;ANDALUCES;55830.0;A
