TEMPORAL;TERRITORIO;CUSTODIA;INDICATOR;OBS_VALUE;FREQ
2011;21;NP;DIVORCIOS;372.33923021;A
2011;23;00;DIVORCIOS;1223.16206129;A
2011;23;1;DIVORCIOS;36.83982926;A
2011;23;2;DIVORCIOS;695.73200291;A
2011;23;3;DIVORCIOS;25.50623028;A
2011;23;4;DIVORCIOS;11.1857573;A
2011;23;NP;DIVORCIOS;453.89824154;A
2011;29;00;DIVORCIOS;3827.02436747;A
2011;29;1;DIVORCIOS;67.69251388;A
2011;29;2;DIVORCIOS;1794.49410771;A
2011;29;3;DIVORCIOS;205.34546502;A
2011;29;4;DIVORCIOS;9.4774299;A
2011;29;NP;DIVORCIOS;1750.01485096;A
2011;41;00;DIVORCIOS;4315.22527316;A
2011;41;1;DIVORCIOS;92.2700674;A
2011;41;2;DIVORCIOS;2178.73241138;A
2011;41;3;DIVORCIOS;189.22978692;A
2011;41;4;DIVORCIOS;8.42167354;A
2011;41;NP;DIVORCIOS;1846.57133392;A
2010;C01;00;DIVORCIOS;18373.44232079;A
2010;C01;1;DIVORCIOS;528.57437298;A
2010;C01;2;DIVORCIOS;9060.13192581;A
2010;C01;3;DIVORCIOS;674.76684729;A
2010;C01;4;DIVORCIOS;45.65789335;A
2010;C01;NP;DIVORCIOS;8064.31128136;A
2010;04;00;DIVORCIOS;1362.40772485;A
2010;04;1;DIVORCIOS;50.1040771;A
2010;04;2;DIVORCIOS;626.72568866;A
2010;04;3;DIVORCIOS;47.66313438;A
2010;04;NP;DIVORCIOS;637.91482471;A
2010;11;00;DIVORCIOS;2718.61775842;A
2010;11;1;DIVORCIOS;70.13503908;A
2010;11;2;DIVORCIOS;1363.30349778;A
2010;11;3;DIVORCIOS;74.17001304;A
2010;11;4;DIVORCIOS;5.98748544;A
2010;11;NP;DIVORCIOS;1205.02172308;A
2010;14;00;DIVORCIOS;1659.02026916;A
2010;14;1;DIVORCIOS;46.03372363;A
2010;14;2;DIVORCIOS;868.4194442;A
2010;14;3;DIVORCIOS;25.22275663;A
2010;14;4;DIVORCIOS;7.63648189;A
2010;14;NP;DIVORCIOS;711.70786281;A
2010;18;00;DIVORCIOS;2005.38373943;A
2010;18;1;DIVORCIOS;29.24673148;A
2010;18;2;DIVORCIOS;1020.22030304;A
2010;18;3;DIVORCIOS;58.21932227;A
2010;18;4;DIVORCIOS;1.38399862;A
2010;18;NP;DIVORCIOS;896.31338402;A
2010;21;00;DIVORCIOS;992.51673019;A
2010;21;1;DIVORCIOS;41.71235982;A
2010;21;2;DIVORCIOS;548.92198036;A
2010;21;3;DIVORCIOS;32.55288974;A
2010;21;4;DIVORCIOS;3.78632344;A
2010;21;NP;DIVORCIOS;365.54317683;A
2010;23;00;DIVORCIOS;1193.6878551;A
2010;23;1;DIVORCIOS;21.60577239;A
2010;23;2;DIVORCIOS;639.34934789;A
2010;23;3;DIVORCIOS;28.04368196;A
2010;23;4;DIVORCIOS;1.28338615;A
2010;23;NP;DIVORCIOS;503.40566671;A
2010;29;00;DIVORCIOS;3876.9745934;A
2010;29;1;DIVORCIOS;103.92012192;A
2010;29;2;DIVORCIOS;1794.5284419;A
2010;29;3;DIVORCIOS;156.37496744;A
2010;29;4;DIVORCIOS;10.09903578;A
2010;29;NP;DIVORCIOS;1812.05202636;A
2010;41;00;DIVORCIOS;4564.83365024;A
2010;41;1;DIVORCIOS;165.81654756;A
2010;41;2;DIVORCIOS;2198.66322198;A
2010;41;3;DIVORCIOS;252.52008183;A
