TEMPORAL;TERRITORIO;NACIONACONYUGES;INDICATOR;OBS_VALUE;FREQ
2017;29;11;DIVORCIOS;3018.8079;A
2017;29;10;DIVORCIOS;3018.8079;A
2017;29;1;DIVORCIOS;3018.8079;A
2017;29;22;DIVORCIOS;633.3228;A
2017;29;20;DIVORCIOS;462.9495;A
2017;29;2;DIVORCIOS;218.3118;A
2017;29;3;DIVORCIOS;244.6377;A
2017;29;30;DIVORCIOS;170.3733;A
2017;29;4;DIVORCIOS;111.1689;A
2017;29;5;DIVORCIOS;59.2044;A
2017;41;00;DIVORCIOS;4318.3766;A
2017;41;11;DIVORCIOS;4035.7822;A
2017;41;10;DIVORCIOS;4035.7822;A
2017;41;1;DIVORCIOS;4035.7822;A
2017;41;22;DIVORCIOS;282.5944;A
2017;41;20;DIVORCIOS;217.0338;A
2017;41;2;DIVORCIOS;105.8835;A
2017;41;3;DIVORCIOS;111.1503;A
2017;41;30;DIVORCIOS;65.5606;A
2017;41;4;DIVORCIOS;45.5897;A
2017;41;5;DIVORCIOS;19.9709;A
2016;C01;00;DIVORCIOS;16968.2676;A
2016;C01;11;DIVORCIOS;15428.564;A
2016;C01;10;DIVORCIOS;15428.564;A
2016;C01;1;DIVORCIOS;15428.564;A
2016;C01;22;DIVORCIOS;1539.7036;A
2016;C01;20;DIVORCIOS;1101.5788;A
2016;C01;2;DIVORCIOS;564.954;A
2016;C01;3;DIVORCIOS;536.6248;A
2016;C01;30;DIVORCIOS;438.1248;A
2016;C01;4;DIVORCIOS;292.2994;A
2016;C01;5;DIVORCIOS;145.8254;A
2016;04;00;DIVORCIOS;1425.5804;A
2016;04;11;DIVORCIOS;1186.1984;A
2016;04;10;DIVORCIOS;1186.1984;A
2016;04;1;DIVORCIOS;1186.1984;A
2016;04;22;DIVORCIOS;239.382;A
2016;04;20;DIVORCIOS;154.2684;A
2016;04;2;DIVORCIOS;87.7734;A
2016;04;3;DIVORCIOS;66.495;A
2016;04;30;DIVORCIOS;85.1136;A
2016;04;4;DIVORCIOS;53.196;A
2016;04;5;DIVORCIOS;31.9176;A
2016;11;00;DIVORCIOS;2275.825;A
2016;11;11;DIVORCIOS;2156.0034;A
2016;11;10;DIVORCIOS;2156.0034;A
2016;11;1;DIVORCIOS;2156.0034;A
2016;11;22;DIVORCIOS;119.8216;A
2016;11;20;DIVORCIOS;96.1726;A
2016;11;2;DIVORCIOS;59.9108;A
2016;11;3;DIVORCIOS;36.2618;A
2016;11;30;DIVORCIOS;23.649;A
2016;11;4;DIVORCIOS;17.3426;A
2016;11;5;DIVORCIOS;6.3064;A
2016;14;00;DIVORCIOS;1473.292;A
2016;14;11;DIVORCIOS;1421.096;A
2016;14;10;DIVORCIOS;1421.096;A
2016;14;1;DIVORCIOS;1421.096;A
2016;14;22;DIVORCIOS;52.196;A
2016;14;20;DIVORCIOS;41.7568;A
2016;14;2;DIVORCIOS;16.9637;A
2016;14;3;DIVORCIOS;24.7931;A
2016;14;30;DIVORCIOS;10.4392;A
2016;14;4;DIVORCIOS;9.1343;A
2016;14;5;DIVORCIOS;1.3049;A
2016;18;00;DIVORCIOS;1937.4432;A
2016;18;11;DIVORCIOS;1783.3088;A
2016;18;10;DIVORCIOS;1783.3088;A
2016;18;1;DIVORCIOS;1783.3088;A
2016;18;22;DIVORCIOS;154.1344;A
2016;18;20;DIVORCIOS;109.1856;A
2016;18;2;DIVORCIOS;58.7792;A
2016;18;3;DIVORCIOS;50.4064;A
2016;18;30;DIVORCIOS;44.9488;A
2016;18;4;DIVORCIOS;29.3896;A
2016;18;5;DIVORCIOS;15.5592;A
2016;21;00;DIVORCIOS;1053.5608;A
2016;21;11;DIVORCIOS;978.9344;A
2016;21;10;DIVORCIOS;978.9344;A
2016;21;1;DIVORCIOS;978.9344;A
2016;21;22;DIVORCIOS;74.6264;A
2016;21;20;DIVORCIOS;52.1468;A
2016;21;2;DIVORCIOS;29.3964;A
2016;21;3;DIVORCIOS;22.7504;A
2016;21;30;DIVORCIOS;22.4796;A
2016;21;4;DIVORCIOS;15.5628;A
2016;21;5;DIVORCIOS;6.9168;A
2016;23;00;DIVORCIOS;1120.7404;A
2016;23;11;DIVORCIOS;1099.8132;A
2016;23;10;DIVORCIOS;1099.8132;A
2016;23;1;DIVORCIOS;1099.8132;A
2016;23;22;DIVORCIOS;20.9272;A
2016;23;20;DIVORCIOS;13.4532;A
2016;23;2;DIVORCIOS;10.4636;A
2016;23;3;DIVORCIOS;2.9896;A
2016;23;30;DIVORCIOS;7.474;A
2016;23;4;DIVORCIOS;5.9792;A
2016;23;5;DIVORCIOS;1.4948;A
2016;29;00;DIVORCIOS;3657.8326;A
2016;29;11;DIVORCIOS;3043.092;A
2016;29;10;DIVORCIOS;3043.092;A
2016;29;1;DIVORCIOS;3043.092;A
2016;29;22;DIVORCIOS;614.7406;A
2016;29;20;DIVORCIOS;446.6734;A
2016;29;2;DIVORCIOS;213.0828;A
2016;29;3;DIVORCIOS;233.5906;A
2016;29;30;DIVORCIOS;168.0672;A
2016;29;4;DIVORCIOS;103.5414;A
2016;29;5;DIVORCIOS;64.5258;A
2016;41;00;DIVORCIOS;4023.9932;A
2016;41;11;DIVORCIOS;3760.1178;A
2016;41;10;DIVORCIOS;3760.1178;A
2016;41;1;DIVORCIOS;3760.1178;A
2016;41;22;DIVORCIOS;263.8754;A
2016;41;20;DIVORCIOS;187.922;A
2016;41;2;DIVORCIOS;88.5841;A
2016;41;3;DIVORCIOS;99.3379;A
2016;41;30;DIVORCIOS;75.9534;A
2016;41;4;DIVORCIOS;58.1535;A
2016;41;5;DIVORCIOS;17.7999;A
2015;C01;00;DIVORCIOS;17029.5907;A
2015;C01;11;DIVORCIOS;15280.9178;A
2015;C01;10;DIVORCIOS;15280.9178;A
2015;C01;1;DIVORCIOS;15280.9178;A
2015;C01;22;DIVORCIOS;1748.6729;A
2015;C01;20;DIVORCIOS;1299.9576;A
2015;C01;2;DIVORCIOS;678.9595;A
2015;C01;3;DIVORCIOS;620.9981;A
2015;C01;30;DIVORCIOS;448.7153;A
2015;C01;4;DIVORCIOS;282.0671;A
2015;C01;5;DIVORCIOS;166.6482;A
2015;04;00;DIVORCIOS;1398.5163;A
2015;04;11;DIVORCIOS;1105.221;A
2015;04;10;DIVORCIOS;1105.221;A
2015;04;1;DIVORCIOS;1105.221;A
2015;04;22;DIVORCIOS;293.2953;A
2015;04;20;DIVORCIOS;183.1578;A
2015;04;2;DIVORCIOS;114.4686;A
2015;04;3;DIVORCIOS;68.6892;A
2015;04;30;DIVORCIOS;110.1375;A
2015;04;4;DIVORCIOS;71.8464;A
2015;04;5;DIVORCIOS;38.2911;A
2015;11;00;DIVORCIOS;2355.5567;A
2015;11;11;DIVORCIOS;2180.2137;A
2015;11;10;DIVORCIOS;2180.2137;A
2015;11;1;DIVORCIOS;2180.2137;A
2015;11;22;DIVORCIOS;175.343;A
2015;11;20;DIVORCIOS;148.2484;A
2015;11;2;DIVORCIOS;84.8761;A
2015;11;3;DIVORCIOS;63.3723;A
2015;11;30;DIVORCIOS;27.0946;A
2015;11;4;DIVORCIOS;14.3442;A
2015;11;5;DIVORCIOS;12.7504;A
2015;14;00;DIVORCIOS;1621.987;A
2015;14;11;DIVORCIOS;1557.1289;A
2015;14;10;DIVORCIOS;1557.1289;A
2015;14;1;DIVORCIOS;1557.1289;A
2015;14;22;DIVORCIOS;64.8581;A
2015;14;20;DIVORCIOS;55.9211;A
2015;14;2;DIVORCIOS;25.3215;A
2015;14;3;DIVORCIOS;30.5996;A
2015;14;30;DIVORCIOS;8.937;A
2015;14;4;DIVORCIOS;7.4475;A
2015;14;5;DIVORCIOS;1.4895;A
2015;18;00;DIVORCIOS;1864.9266;A
2015;18;11;DIVORCIOS;1694.7456;A
2015;18;10;DIVORCIOS;1694.7456;A
2015;18;1;DIVORCIOS;1694.7456;A
2015;18;22;DIVORCIOS;170.181;A
2015;18;20;DIVORCIOS;135.801;A
2015;18;2;DIVORCIOS;72.198;A
2015;18;3;DIVORCIOS;63.603;A
2015;18;30;DIVORCIOS;34.38;A
2015;18;4;DIVORCIOS;20.628;A
2015;18;5;DIVORCIOS;13.752;A
2015;21;00;DIVORCIOS;1022.9657;A
2015;21;11;DIVORCIOS;971.6355;A
2015;21;10;DIVORCIOS;971.6355;A
2015;21;1;DIVORCIOS;971.6355;A
2015;21;22;DIVORCIOS;51.3302;A
2015;21;20;DIVORCIOS;43.4959;A
2015;21;2;DIVORCIOS;31.2039;A
2015;21;3;DIVORCIOS;12.292;A
2015;21;30;DIVORCIOS;7.8343;A
2015;21;4;DIVORCIOS;5.9436;A
2015;21;5;DIVORCIOS;1.8907;A
2015;23;00;DIVORCIOS;1197.5493;A
2015;23;11;DIVORCIOS;1170.2055;A
2015;23;10;DIVORCIOS;1170.2055;A
2015;23;1;DIVORCIOS;1170.2055;A
2015;23;22;DIVORCIOS;27.3438;A
2015;23;20;DIVORCIOS;24.3056;A
2015;23;2;DIVORCIOS;12.1528;A
2015;23;3;DIVORCIOS;12.1528;A
2015;23;30;DIVORCIOS;3.0382;A
2015;23;4;DIVORCIOS;1.5191;A
2015;23;5;DIVORCIOS;1.5191;A
2015;29;00;DIVORCIOS;3560.4711;A
2015;29;11;DIVORCIOS;2904.2666;A
2015;29;10;DIVORCIOS;2904.2666;A
2015;29;1;DIVORCIOS;2904.2666;A
2015;29;22;DIVORCIOS;656.2045;A
2015;29;20;DIVORCIOS;458.0464;A
2015;29;2;DIVORCIOS;217.1976;A
2015;29;3;DIVORCIOS;240.8488;A
2015;29;30;DIVORCIOS;198.1581;A
2015;29;4;DIVORCIOS;115.6103;A
2015;29;5;DIVORCIOS;82.5478;A
2015;41;00;DIVORCIOS;4007.618;A
2015;41;11;DIVORCIOS;3697.501;A
2015;41;10;DIVORCIOS;3697.501;A
2015;41;1;DIVORCIOS;3697.501;A
2015;41;22;DIVORCIOS;310.117;A
2015;41;20;DIVORCIOS;250.9814;A
2015;41;2;DIVORCIOS;121.541;A
2015;41;3;DIVORCIOS;129.4404;A
2015;41;30;DIVORCIOS;59.1356;A
2015;41;4;DIVORCIOS;44.728;A
2015;41;5;DIVORCIOS;14.4076;A
2014;C01;00;DIVORCIOS;17376.98787;A
