TEMPORAL;TERRITORIO;TIPOMATRIMONIO;INDICATOR;OBS_VALUE;FREQ
2013;04;00;DIVORCIOS;1267.4696;A
2013;04;1;DIVORCIOS;1262.5442;A
2013;04;23;DIVORCIOS;4.9254;A
2013;04;2;DIVORCIOS;3.2836;A
2013;04;3;DIVORCIOS;1.6418;A
2013;11;00;DIVORCIOS;2358.7305;A
2013;11;1;DIVORCIOS;2348.47515;A
2013;11;23;DIVORCIOS;10.25535;A
2013;11;2;DIVORCIOS;5.8602;A
2013;11;3;DIVORCIOS;4.39515;A
2013;14;00;DIVORCIOS;1452.76866;A
2013;14;1;DIVORCIOS;1448.69928;A
2013;14;23;DIVORCIOS;4.06938;A
2013;14;2;DIVORCIOS;2.71292;A
2013;14;3;DIVORCIOS;1.35646;A
2013;18;00;DIVORCIOS;1822.15704;A
2013;18;1;DIVORCIOS;1813.9737;A
2013;18;23;DIVORCIOS;8.18334;A
2013;18;2;DIVORCIOS;5.45556;A
2013;18;3;DIVORCIOS;2.72778;A
2013;21;00;DIVORCIOS;995.33511;A
2013;21;1;DIVORCIOS;991.0263;A
2013;21;23;DIVORCIOS;4.30881;A
2013;21;2;DIVORCIOS;1.43627;A
2013;21;3;DIVORCIOS;2.87254;A
2013;23;00;DIVORCIOS;1155.71547;A
2013;23;1;DIVORCIOS;1154.30434;A
2013;23;23;DIVORCIOS;1.41113;A
2013;23;2;DIVORCIOS;1.41113;A
2013;29;00;DIVORCIOS;3581.6334;A
2013;29;1;DIVORCIOS;3565.8363;A
2013;29;23;DIVORCIOS;15.7971;A
2013;29;2;DIVORCIOS;4.3083;A
2013;29;3;DIVORCIOS;11.4888;A
2013;41;00;DIVORCIOS;3839.365;A
2013;41;1;DIVORCIOS;3823.423;A
2013;41;23;DIVORCIOS;15.942;A
2013;41;2;DIVORCIOS;7.971;A
2013;41;3;DIVORCIOS;7.971;A
2012;C01;00;DIVORCIOS;19100.05171;A
2012;C01;1;DIVORCIOS;19044.05171;A
2012;C01;23;DIVORCIOS;56.0;A
2012;C01;2;DIVORCIOS;40.0;A
2012;C01;3;DIVORCIOS;16.0;A
2012;04;00;DIVORCIOS;1673.28115;A
2012;04;1;DIVORCIOS;1670.28115;A
2012;04;23;DIVORCIOS;3.0;A
2012;04;2;DIVORCIOS;2.0;A
2012;04;3;DIVORCIOS;1.0;A
2012;11;00;DIVORCIOS;2751.43454;A
2012;11;1;DIVORCIOS;2745.43454;A
2012;11;23;DIVORCIOS;6.0;A
2012;11;2;DIVORCIOS;6.0;A
2012;14;00;DIVORCIOS;1519.27045;A
2012;14;1;DIVORCIOS;1515.27045;A
2012;14;23;DIVORCIOS;4.0;A
2012;14;2;DIVORCIOS;4.0;A
2012;18;00;DIVORCIOS;2194.10578;A
2012;18;1;DIVORCIOS;2188.10578;A
2012;18;23;DIVORCIOS;6.0;A
2012;18;2;DIVORCIOS;4.0;A
2012;18;3;DIVORCIOS;2.0;A
2012;21;00;DIVORCIOS;1090.26737;A
2012;21;1;DIVORCIOS;1090.26737;A
2012;23;00;DIVORCIOS;1282.34085;A
2012;23;1;DIVORCIOS;1281.34085;A
2012;23;23;DIVORCIOS;1.0;A
2012;23;2;DIVORCIOS;1.0;A
2012;29;00;DIVORCIOS;4090.46015;A
2012;29;1;DIVORCIOS;4069.46015;A
2012;29;23;DIVORCIOS;21.0;A
2012;29;2;DIVORCIOS;14.0;A
2012;29;3;DIVORCIOS;7.0;A
2012;41;00;DIVORCIOS;4498.89142;A
