TEMPORAL;TERRITORIO;NUMHIJOSMENORED;INDICATOR;OBS_VALUE;FREQ
2014;21;000;DIVORCIOS;1140.17566;A
2014;21;0;DIVORCIOS;421.55378;A
2014;21;1;DIVORCIOS;383.35931;A
2014;21;2;DIVORCIOS;289.99505;A
2014;21;3;DIVORCIOS;41.02369;A
2014;21;4;DIVORCIOS;4.24383;A
2014;23;000;DIVORCIOS;1180.1112;A
2014;23;0;DIVORCIOS;478.5028;A
2014;23;1;DIVORCIOS;364.0144;A
2014;23;2;DIVORCIOS;306.7702;A
2014;23;3;DIVORCIOS;29.356;A
2014;23;4;DIVORCIOS;1.4678;A
2014;29;000;DIVORCIOS;3567.8708;A
2014;29;0;DIVORCIOS;1696.9927;A
2014;29;1;DIVORCIOS;920.9486;A
2014;29;2;DIVORCIOS;827.5657;A
2014;29;3;DIVORCIOS;107.87335;A
2014;29;4;DIVORCIOS;11.27035;A
2014;29;05MAS;DIVORCIOS;3.2201;A
2014;41;000;DIVORCIOS;4126.85938;A
2014;41;0;DIVORCIOS;1753.20726;A
2014;41;1;DIVORCIOS;1202.27282;A
2014;41;2;DIVORCIOS;1029.784;A
2014;41;3;DIVORCIOS;126.14854;A
2014;41;4;DIVORCIOS;14.15953;A
2014;41;05MAS;DIVORCIOS;1.28723;A
2013;C01;000;DIVORCIOS;16473.17478;A
2013;C01;0;DIVORCIOS;7220.07376;A
2013;C01;1;DIVORCIOS;4952.98014;A
2013;C01;2;DIVORCIOS;3768.42882;A
2013;C01;3;DIVORCIOS;496.23918;A
2013;C01;4;DIVORCIOS;27.20316;A
2013;C01;05MAS;DIVORCIOS;8.24972;A
2013;04;000;DIVORCIOS;1267.4696;A
2013;04;0;DIVORCIOS;607.466;A
2013;04;1;DIVORCIOS;338.2108;A
2013;04;2;DIVORCIOS;284.0314;A
2013;04;3;DIVORCIOS;32.836;A
2013;04;4;DIVORCIOS;4.9254;A
2013;11;000;DIVORCIOS;2358.7305;A
2013;11;0;DIVORCIOS;1009.41945;A
2013;11;1;DIVORCIOS;707.61915;A
2013;11;2;DIVORCIOS;565.5093;A
2013;11;3;DIVORCIOS;71.78745;A
2013;11;4;DIVORCIOS;4.39515;A
2013;14;000;DIVORCIOS;1452.76866;A
2013;14;0;DIVORCIOS;609.05054;A
2013;14;1;DIVORCIOS;486.96914;A
2013;14;2;DIVORCIOS;322.83748;A
2013;14;3;DIVORCIOS;31.19858;A
2013;14;4;DIVORCIOS;1.35646;A
2013;14;05MAS;DIVORCIOS;1.35646;A
2013;18;000;DIVORCIOS;1822.15704;A
2013;18;0;DIVORCIOS;800.60343;A
2013;18;1;DIVORCIOS;542.82822;A
2013;18;2;DIVORCIOS;413.25867;A
2013;18;3;DIVORCIOS;61.37505;A
2013;18;4;DIVORCIOS;2.72778;A
2013;18;05MAS;DIVORCIOS;1.36389;A
2013;21;000;DIVORCIOS;995.33511;A
2013;21;0;DIVORCIOS;432.31727;A
2013;21;1;DIVORCIOS;294.43535;A
2013;21;2;DIVORCIOS;241.29336;A
2013;21;3;DIVORCIOS;22.98032;A
2013;21;4;DIVORCIOS;2.87254;A
2013;21;05MAS;DIVORCIOS;1.43627;A
2013;23;000;DIVORCIOS;1155.71547;A
2013;23;0;DIVORCIOS;506.59567;A
2013;23;1;DIVORCIOS;347.13798;A
2013;23;2;DIVORCIOS;249.77001;A
2013;23;3;DIVORCIOS;50.80068;A
2013;23;4;DIVORCIOS;1.41113;A
2013;29;000;DIVORCIOS;3581.6334;A
2013;29;0;DIVORCIOS;1628.5374;A
2013;29;1;DIVORCIOS;1062.714;A
2013;29;2;DIVORCIOS;769.7496;A
2013;29;3;DIVORCIOS;116.3241;A
2013;29;4;DIVORCIOS;2.8722;A
2013;29;05MAS;DIVORCIOS;1.4361;A
2013;41;000;DIVORCIOS;3839.365;A
2013;41;0;DIVORCIOS;1626.084;A
2013;41;1;DIVORCIOS;1173.0655;A
2013;41;2;DIVORCIOS;921.979;A
2013;41;3;DIVORCIOS;108.937;A
2013;41;4;DIVORCIOS;6.6425;A
2013;41;05MAS;DIVORCIOS;2.657;A
2012;C01;000;DIVORCIOS;19100.05171;A
2012;C01;0;DIVORCIOS;8277.67408;A
2012;C01;1;DIVORCIOS;5744.25856;A
2012;C01;2;DIVORCIOS;4438.21973;A
2012;C01;3;DIVORCIOS;588.12709;A
2012;C01;4;DIVORCIOS;39.34058;A
2012;C01;05MAS;DIVORCIOS;12.43167;A
2012;04;000;DIVORCIOS;1673.28115;A
2012;04;0;DIVORCIOS;794.03702;A
2012;04;1;DIVORCIOS;480.34575;A
2012;04;2;DIVORCIOS;365.83438;A
2012;04;3;DIVORCIOS;27.03896;A
2012;04;4;DIVORCIOS;6.02504;A
2012;11;000;DIVORCIOS;2751.43454;A
2012;11;0;DIVORCIOS;1192.61732;A
2012;11;1;DIVORCIOS;845.30394;A
2012;11;2;DIVORCIOS;623.70872;A
2012;11;3;DIVORCIOS;79.38752;A
2012;11;4;DIVORCIOS;5.20852;A
2012;11;05MAS;DIVORCIOS;5.20852;A
2012;14;000;DIVORCIOS;1519.27045;A
2012;14;0;DIVORCIOS;677.43838;A
2012;14;1;DIVORCIOS;443.3598;A
2012;14;2;DIVORCIOS;363.37422;A
2012;14;3;DIVORCIOS;29.24019;A
2012;14;4;DIVORCIOS;4.60962;A
2012;14;05MAS;DIVORCIOS;1.24824;A
2012;18;000;DIVORCIOS;2194.10578;A
2012;18;0;DIVORCIOS;898.12826;A
2012;18;1;DIVORCIOS;630.93392;A
2012;18;2;DIVORCIOS;565.05708;A
2012;18;3;DIVORCIOS;93.88036;A
2012;18;4;DIVORCIOS;6.10616;A
2012;21;000;DIVORCIOS;1090.26737;A
2012;21;0;DIVORCIOS;435.22177;A
2012;21;1;DIVORCIOS;342.97663;A
2012;21;2;DIVORCIOS;283.31119;A
2012;21;3;DIVORCIOS;27.37762;A
2012;21;4;DIVORCIOS;1.38016;A
2012;23;000;DIVORCIOS;1282.34085;A
2012;23;0;DIVORCIOS;549.47948;A
2012;23;1;DIVORCIOS;362.85464;A
2012;23;2;DIVORCIOS;311.92896;A
2012;23;3;DIVORCIOS;54.36695;A
2012;23;4;DIVORCIOS;1.85541;A
2012;23;05MAS;DIVORCIOS;1.85541;A
2012;29;000;DIVORCIOS;4090.46015;A
2012;29;0;DIVORCIOS;1852.62459;A
2012;29;1;DIVORCIOS;1241.96483;A
2012;29;2;DIVORCIOS;859.054;A
2012;29;3;DIVORCIOS;125.03559;A
2012;29;4;DIVORCIOS;10.23833;A
2012;29;05MAS;DIVORCIOS;1.54281;A
2012;41;000;DIVORCIOS;4498.89142;A
2012;41;0;DIVORCIOS;1878.12726;A
2012;41;1;DIVORCIOS;1396.51905;A
2012;41;2;DIVORCIOS;1065.95118;A
2012;41;3;DIVORCIOS;151.7999;A
2012;41;4;DIVORCIOS;3.91734;A
2012;41;05MAS;DIVORCIOS;2.57669;A
2011;C01;000;DIVORCIOS;18257.58564089;A
2011;C01;0;DIVORCIOS;7846.04933399;A
2011;C01;1;DIVORCIOS;5527.79355028;A
2011;C01;2;DIVORCIOS;4267.80886431;A
2011;C01;3;DIVORCIOS;556.81508384;A
2011;C01;4;DIVORCIOS;51.27548841;A
2011;C01;05MAS;DIVORCIOS;7.84332006;A
2011;04;000;DIVORCIOS;1426.82187464;A
2011;04;0;DIVORCIOS;583.52640992;A
2011;04;1;DIVORCIOS;473.24332963;A
2011;04;2;DIVORCIOS;325.8645722;A
2011;04;3;DIVORCIOS;33.50802275;A
2011;04;4;DIVORCIOS;8.94397693;A
2011;04;05MAS;DIVORCIOS;1.73556321;A
2011;11;000;DIVORCIOS;2822.48660103;A
2011;11;0;DIVORCIOS;1202.3111071;A
2011;11;1;DIVORCIOS;876.25066798;A
2011;11;2;DIVORCIOS;687.0078043;A
2011;11;3;DIVORCIOS;54.20382726;A
2011;11;4;DIVORCIOS;2.71319439;A
2011;14;000;DIVORCIOS;1607.8291226;A
2011;14;0;DIVORCIOS;694.5188753;A
2011;14;1;DIVORCIOS;460.81061422;A
2011;14;2;DIVORCIOS;405.63396368;A
2011;14;3;DIVORCIOS;45.24572844;A
2011;14;4;DIVORCIOS;1.61994096;A
2011;18;000;DIVORCIOS;2058.63585768;A
2011;18;0;DIVORCIOS;942.86928504;A
2011;18;1;DIVORCIOS;588.47517352;A
2011;18;2;DIVORCIOS;447.82141032;A
2011;18;3;DIVORCIOS;77.16153716;A
2011;18;4;DIVORCIOS;2.30845164;A
2011;21;000;DIVORCIOS;976.40048302;A
