TEMPORAL;TERRITORIO;EDAD;EDADC2;INDICATOR;OBS_VALUE;FREQ
2020;11;060064;060064;DIVORCIOS;44.01934;A
2020;11;060064;065069;DIVORCIOS;5.24411;A
2020;11;065069;00;DIVORCIOS;70.27887;A
2020;11;065069;025029;DIVORCIOS;3.13867;A
2020;11;065069;045049;DIVORCIOS;3.13867;A
2020;11;065069;050054;DIVORCIOS;4.21088;A
2020;11;065069;055059;DIVORCIOS;7.34955;A
2020;11;065069;060064;DIVORCIOS;7.34955;A
2020;11;065069;065069;DIVORCIOS;42.98611;A
2020;11;065069;070074;DIVORCIOS;2.10544;A
2020;11;070074;00;DIVORCIOS;32.53687;A
2020;11;070074;035039;DIVORCIOS;2.10544;A
2020;11;070074;050054;DIVORCIOS;2.10544;A
2020;11;070074;060064;DIVORCIOS;2.10544;A
2020;11;070074;065069;DIVORCIOS;12.59366;A
2020;11;070074;070074;DIVORCIOS;13.62689;A
2020;11;065100;00;DIVORCIOS;23.08188;A
2020;11;065100;045049;DIVORCIOS;2.10544;A
2020;11;065100;050054;DIVORCIOS;2.10544;A
2020;11;065100;070074;DIVORCIOS;7.34955;A
2020;11;065100;075100;DIVORCIOS;11.52145;A
2020;14;00;00;DIVORCIOS;1295.68526;A
2020;14;00;025029;DIVORCIOS;32.203;A
2020;14;00;030034;DIVORCIOS;106.88587;A
2020;14;00;035039;DIVORCIOS;195.52536;A
2020;14;00;040044;DIVORCIOS;309.10112;A
2020;14;00;045049;DIVORCIOS;260.85959;A
2020;14;00;050054;DIVORCIOS;168.85857;A
2020;14;00;055059;DIVORCIOS;119.88109;A
2020;14;00;060064;DIVORCIOS;52.11356;A
2020;14;00;065069;DIVORCIOS;23.07981;A
2020;14;00;070074;DIVORCIOS;13.02839;A
2020;14;00;075100;DIVORCIOS;14.1489;A
2020;14;015019;00;DIVORCIOS;2.97697;A
2020;14;015019;030034;DIVORCIOS;2.97697;A
2020;14;025029;00;DIVORCIOS;15.26941;A
2020;14;025029;025029;DIVORCIOS;6.14622;A
2020;14;025029;030034;DIVORCIOS;9.12319;A
2020;14;030034;00;DIVORCIOS;46.73646;A
2020;14;030034;025029;DIVORCIOS;8.00268;A
2020;14;030034;030034;DIVORCIOS;29.61059;A
2020;14;030034;035039;DIVORCIOS;9.12319;A
2020;14;035039;00;DIVORCIOS;163.48147;A
2020;14;035039;025029;DIVORCIOS;13.02839;A
2020;14;035039;030034;DIVORCIOS;34.6363;A
2020;14;035039;035039;DIVORCIOS;81.56504;A
2020;14;035039;040044;DIVORCIOS;27.17729;A
2020;14;035039;045049;DIVORCIOS;2.04874;A
2020;14;035039;050054;DIVORCIOS;2.04874;A
2020;14;035039;055059;DIVORCIOS;2.97697;A
2020;14;040044;00;DIVORCIOS;251.03362;A
2020;14;040044;025029;DIVORCIOS;2.04874;A
2020;14;040044;030034;DIVORCIOS;17.31815;A
2020;14;040044;035039;DIVORCIOS;71.32134;A
2020;14;040044;040044;DIVORCIOS;132.78354;A
2020;14;040044;045049;DIVORCIOS;25.51311;A
2020;14;040044;050054;DIVORCIOS;2.04874;A
2020;14;045049;00;DIVORCIOS;284.86763;A
2020;14;045049;025029;DIVORCIOS;2.97697;A
2020;14;045049;030034;DIVORCIOS;11.17193;A
2020;14;045049;035039;DIVORCIOS;19.17461;A
2020;14;045049;040044;DIVORCIOS;111.7193;A
2020;14;045049;045049;DIVORCIOS;115.43222;A
2020;14;045049;050054;DIVORCIOS;18.24638;A
2020;14;045049;055059;DIVORCIOS;6.14622;A
2020;14;050054;00;DIVORCIOS;257.49806;A
2020;14;050054;035039;DIVORCIOS;10.2437;A
2020;14;050054;040044;DIVORCIOS;22.34386;A
2020;14;050054;045049;DIVORCIOS;105.76536;A
2020;14;050054;050054;DIVORCIOS;96.99356;A
2020;14;050054;055059;DIVORCIOS;19.17461;A
2020;14;050054;060064;DIVORCIOS;2.97697;A
2020;14;055059;00;DIVORCIOS;124.17085;A
2020;14;055059;030034;DIVORCIOS;2.04874;A
2020;14;055059;040044;DIVORCIOS;12.10016;A
2020;14;055059;045049;DIVORCIOS;9.12319;A
2020;14;055059;050054;DIVORCIOS;40.39796;A
2020;14;055059;055059;DIVORCIOS;55.47509;A
2020;14;055059;060064;DIVORCIOS;5.02571;A
2020;14;060064;00;DIVORCIOS;61.23675;A
2020;14;060064;035039;DIVORCIOS;2.04874;A
2020;14;060064;050054;DIVORCIOS;7.07445;A
2020;14;060064;055059;DIVORCIOS;28.10552;A
2020;14;060064;060064;DIVORCIOS;18.98233;A
2020;14;060064;065069;DIVORCIOS;2.97697;A
2020;14;060064;070074;DIVORCIOS;2.04874;A
2020;14;065069;00;DIVORCIOS;47.08785;A
2020;14;065069;045049;DIVORCIOS;2.97697;A
2020;14;065069;050054;DIVORCIOS;2.04874;A
2020;14;065069;055059;DIVORCIOS;2.97697;A
2020;14;065069;060064;DIVORCIOS;21.03107;A
2020;14;065069;065069;DIVORCIOS;13.02839;A
2020;14;065069;070074;DIVORCIOS;2.97697;A
2020;14;065069;075100;DIVORCIOS;2.04874;A
2020;14;070074;00;DIVORCIOS;24.20032;A
2020;14;070074;035039;DIVORCIOS;2.04874;A
2020;14;070074;040044;DIVORCIOS;2.97697;A
2020;14;070074;055059;DIVORCIOS;2.97697;A
2020;14;070074;060064;DIVORCIOS;2.04874;A
2020;14;070074;065069;DIVORCIOS;4.09748;A
2020;14;070074;070074;DIVORCIOS;8.00268;A
2020;14;070074;075100;DIVORCIOS;2.04874;A
2020;14;065100;00;DIVORCIOS;17.12587;A
2020;14;065100;055059;DIVORCIOS;2.04874;A
2020;14;065100;060064;DIVORCIOS;2.04874;A
2020;14;065100;065069;DIVORCIOS;2.97697;A
2020;14;065100;075100;DIVORCIOS;10.05142;A
2020;18;00;00;DIVORCIOS;1333.9225;A
2020;18;00;015024;DIVORCIOS;9.56447;A
