D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
117;2014;estado Doctorados STEM. Hombres;;A
117;2015;estado Doctorados STEM. Hombres;;A
117;2016;estado Doctorados STEM. Hombres;;A
117;2017;estado Doctorados STEM. Hombres;;A
117;2018;estado Doctorados STEM. Hombres;;A
117;2019;estado Doctorados STEM. Hombres;;A
117;2020;estado Doctorados STEM. Hombres;;A
112;2013;estado Doctorados STEM. Hombres;;A
112;2014;estado Doctorados STEM. Hombres;;A
112;2015;estado Doctorados STEM. Hombres;;A
112;2016;estado Doctorados STEM. Hombres;;A
112;2017;estado Doctorados STEM. Hombres;;A
112;2018;estado Doctorados STEM. Hombres;;A
112;2019;estado Doctorados STEM. Hombres;;A
112;2020;estado Doctorados STEM. Hombres;;A
118;2013;estado Doctorados STEM. Hombres;;A
118;2014;estado Doctorados STEM. Hombres;;A
118;2015;estado Doctorados STEM. Hombres;;A
118;2016;estado Doctorados STEM. Hombres;;A
118;2017;estado Doctorados STEM. Hombres;;A
118;2018;estado Doctorados STEM. Hombres;;A
118;2019;estado Doctorados STEM. Hombres;;A
118;2020;estado Doctorados STEM. Hombres;;A
121;2013;estado Doctorados STEM. Hombres;--;A
121;2014;estado Doctorados STEM. Hombres;--;A
121;2015;estado Doctorados STEM. Hombres;--;A
121;2016;estado Doctorados STEM. Hombres;--;A
121;2017;estado Doctorados STEM. Hombres;;A
121;2018;estado Doctorados STEM. Hombres;;A
121;2019;estado Doctorados STEM. Hombres;;A
121;2020;estado Doctorados STEM. Hombres;;A
102;2013;estado Doctorados STEM. Hombres;;A
102;2014;estado Doctorados STEM. Hombres;;A
102;2015;estado Doctorados STEM. Hombres;;A
102;2016;estado Doctorados STEM. Hombres;;A
102;2017;estado Doctorados STEM. Hombres;;A
102;2018;estado Doctorados STEM. Hombres;;A
102;2019;estado Doctorados STEM. Hombres;;A
102;2020;estado Doctorados STEM. Hombres;;A
122;2013;estado Doctorados STEM. Hombres;--;A
122;2014;estado Doctorados STEM. Hombres;;A
122;2015;estado Doctorados STEM. Hombres;;A
122;2016;estado Doctorados STEM. Hombres;;A
122;2017;estado Doctorados STEM. Hombres;;A
122;2018;estado Doctorados STEM. Hombres;;A
122;2019;estado Doctorados STEM. Hombres;;A
122;2020;estado Doctorados STEM. Hombres;;A
123;2013;estado Doctorados STEM. Hombres;;A
123;2014;estado Doctorados STEM. Hombres;;A
123;2015;estado Doctorados STEM. Hombres;;A
123;2016;estado Doctorados STEM. Hombres;;A
123;2017;estado Doctorados STEM. Hombres;;A
123;2018;estado Doctorados STEM. Hombres;;A
123;2019;estado Doctorados STEM. Hombres;;A
123;2020;estado Doctorados STEM. Hombres;;A
128;2013;estado Doctorados STEM. Hombres;;A
128;2014;estado Doctorados STEM. Hombres;;A
128;2015;estado Doctorados STEM. Hombres;;A
128;2016;estado Doctorados STEM. Hombres;;A
128;2017;estado Doctorados STEM. Hombres;;A
128;2018;estado Doctorados STEM. Hombres;;A
128;2019;estado Doctorados STEM. Hombres;;A
128;2020;estado Doctorados STEM. Hombres;--;A
147;2013;estado Doctorados STEM. Hombres;;A
147;2014;estado Doctorados STEM. Hombres;;A
147;2015;estado Doctorados STEM. Hombres;;A
147;2016;estado Doctorados STEM. Hombres;;A
147;2017;estado Doctorados STEM. Hombres;;A
147;2018;estado Doctorados STEM. Hombres;;A
147;2019;estado Doctorados STEM. Hombres;;A
147;2020;estado Doctorados STEM. Hombres;;A
144;2013;estado Doctorados STEM. Hombres;;A
144;2014;estado Doctorados STEM. Hombres;;A
144;2015;estado Doctorados STEM. Hombres;;A
