TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
111;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.1;A
111;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.2;A
111;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.6;A
111;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.0;A
110;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.5;A
110;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.8;A
110;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.8;A
110;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.4;A
110;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.3;A
110;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.0;A
110;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.0;A
110;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.3;A
110;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.3;A
110;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.5;A
110;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.7;A
110;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.1;A
110;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.5;A
110;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.7;A
146;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.3;A
146;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.1;A
146;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;10.0;A
146;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;10.6;A
146;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;10.5;A
146;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;10.6;A
146;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;10.7;A
146;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.0;A
146;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.7;A
146;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.6;A
146;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.5;A
146;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.8;A
146;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.8;A
146;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;10.9;A
115;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.6;A
115;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.6;A
115;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.7;A
115;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.5;A
115;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.3;A
115;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.5;A
115;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.6;A
115;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.7;A
115;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.9;A
115;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.7;A
115;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.0;A
115;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.3;A
115;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.5;A
