D_TEMPORAL_0;D_TERRITORIO_0;D_NUMHIJOSMENORED_0;INDICATOR;OBS_VALUE;FREQ
2013;29;1;Nulidades;;A
2013;29;2;Nulidades;;A
2013;29;3;Nulidades;;A
2013;29;4;Nulidades;;A
2013;29;05+;Nulidades;;A
2013;41;000;Nulidades;15.942;A
2013;41;0;Nulidades;15.942;A
2013;41;1;Nulidades;;A
2013;41;2;Nulidades;;A
2013;41;3;Nulidades;;A
2013;41;4;Nulidades;;A
2013;41;05+;Nulidades;;A
2012;C01;000;Nulidades;24.00002;A
2012;C01;0;Nulidades;24.00002;A
2012;C01;1;Nulidades;;A
2012;C01;2;Nulidades;;A
2012;C01;3;Nulidades;;A
2012;C01;4;Nulidades;;A
2012;C01;05+;Nulidades;;A
2012;04;000;Nulidades;3.0;A
2012;04;0;Nulidades;3.0;A
2012;04;1;Nulidades;;A
2012;04;2;Nulidades;;A
2012;04;3;Nulidades;;A
2012;04;4;Nulidades;;A
2012;11;000;Nulidades;;A
2012;11;0;Nulidades;;A
2012;11;1;Nulidades;;A
2012;11;2;Nulidades;;A
2012;11;3;Nulidades;;A
2012;11;4;Nulidades;;A
2012;11;05+;Nulidades;;A
2012;14;000;Nulidades;;A
2012;14;0;Nulidades;;A
2012;14;1;Nulidades;;A
2012;14;2;Nulidades;;A
2012;14;3;Nulidades;;A
2012;14;4;Nulidades;;A
2012;14;05+;Nulidades;;A
2012;18;000;Nulidades;;A
2012;18;0;Nulidades;;A
2012;18;1;Nulidades;;A
2012;18;2;Nulidades;;A
2012;18;3;Nulidades;;A
2012;18;4;Nulidades;;A
2012;21;000;Nulidades;;A
2012;21;0;Nulidades;;A
2012;21;1;Nulidades;;A
2012;21;2;Nulidades;;A
2012;21;3;Nulidades;;A
2012;21;4;Nulidades;;A
2012;23;000;Nulidades;;A
2012;23;0;Nulidades;;A
2012;23;1;Nulidades;;A
2012;23;2;Nulidades;;A
2012;23;3;Nulidades;;A
2012;23;4;Nulidades;;A
2012;23;05+;Nulidades;;A
2012;29;000;Nulidades;2.0;A
2012;29;0;Nulidades;2.0;A
2012;29;1;Nulidades;;A
2012;29;2;Nulidades;;A
2012;29;3;Nulidades;;A
2012;29;4;Nulidades;;A
2012;29;05+;Nulidades;;A
2012;41;000;Nulidades;19.00002;A
2012;41;0;Nulidades;19.00002;A
2012;41;1;Nulidades;;A
2012;41;2;Nulidades;;A
2012;41;3;Nulidades;;A
2012;41;4;Nulidades;;A
2012;41;05+;Nulidades;;A
2011;C01;000;Nulidades;31.0;A
2011;C01;0;Nulidades;29.0;A
2011;C01;1;Nulidades;2.0;A
2011;C01;2;Nulidades;;A
2011;C01;3;Nulidades;;A
2011;C01;4;Nulidades;;A
2011;C01;05+;Nulidades;;A
2011;04;000;Nulidades;2.0;A
2011;04;0;Nulidades;;A
2011;04;1;Nulidades;2.0;A
2011;04;2;Nulidades;;A
2011;04;3;Nulidades;;A
2011;04;4;Nulidades;;A
2011;04;05+;Nulidades;;A
2011;11;000;Nulidades;2.0;A
2011;11;0;Nulidades;2.0;A
2011;11;1;Nulidades;;A
2011;11;2;Nulidades;;A
2011;11;3;Nulidades;;A
2011;11;4;Nulidades;;A
2011;14;000;Nulidades;2.0;A
2011;14;0;Nulidades;2.0;A
2011;14;1;Nulidades;;A
2011;14;2;Nulidades;;A
2011;14;3;Nulidades;;A
2011;14;4;Nulidades;;A
2011;14;05+;Nulidades;;A
2011;18;000;Nulidades;3.0;A
2011;18;0;Nulidades;3.0;A
2011;18;1;Nulidades;;A
2011;18;2;Nulidades;;A
2011;18;3;Nulidades;;A
2011;18;4;Nulidades;;A
2011;18;05+;Nulidades;;A
2011;21;000;Nulidades;;A
2011;21;0;Nulidades;;A
2011;21;1;Nulidades;;A
2011;21;2;Nulidades;;A
2011;21;3;Nulidades;;A
2011;21;4;Nulidades;;A
