D_TEMPORAL_0;D_TERRITORIO_0;D_CUSTODIA_0;INDICATOR;OBS_VALUE;FREQ
2012;21;1;Divorcios;82.51772;A
2012;21;2;Divorcios;536.25886;A
2012;21;3;Divorcios;34.88886;A
2012;21;4;Divorcios;1.38016;A
2012;21;NP;Divorcios;435.22177;A
2012;23;00;Divorcios;1282.34085;A
2012;23;1;Divorcios;33.68789;A
2012;23;2;Divorcios;652.21769;A
2012;23;3;Divorcios;36.88057;A
2012;23;4;Divorcios;10.07522;A
2012;23;NP;Divorcios;549.47948;A
2012;29;00;Divorcios;4090.46015;A
2012;29;1;Divorcios;199.22993;A
2012;29;2;Divorcios;1851.2963;A
2012;29;3;Divorcios;177.071;A
2012;29;4;Divorcios;10.23833;A
2012;29;NP;Divorcios;1852.62459;A
2012;41;00;Divorcios;4498.89142;A
2012;41;1;Divorcios;306.92435;A
2012;41;2;Divorcios;2072.08057;A
2012;41;3;Divorcios;218.53416;A
2012;41;4;Divorcios;23.22508;A
2012;41;NP;Divorcios;1878.12726;A
2011;C01;00;Divorcios;18257.58564089;A
2011;C01;1;Divorcios;466.42685669;A
2011;C01;2;Divorcios;9132.30887594;A
2011;C01;3;Divorcios;762.26395284;A
2011;C01;4;Divorcios;50.53662143;A
2011;C01;NP;Divorcios;7846.04933399;A
2011;04;00;Divorcios;1426.82187464;A
2011;04;1;Divorcios;158.05278008;A
2011;04;2;Divorcios;632.51038614;A
2011;04;3;Divorcios;45.65696522;A
2011;04;4;Divorcios;7.07533328;A
2011;04;NP;Divorcios;583.52640992;A
2011;11;00;Divorcios;2822.48660103;A
2011;11;1;Divorcios;24.41874951;A
2011;11;2;Divorcios;1448.8048699;A
2011;11;3;Divorcios;138.81229135;A
2011;11;4;Divorcios;8.13958317;A
2011;11;NP;Divorcios;1202.3111071;A
2011;14;00;Divorcios;1607.8291226;A
2011;14;1;Divorcios;37.20233286;A
2011;14;2;Divorcios;832.32715984;A
2011;14;3;Divorcios;42.16081364;A
2011;14;4;Divorcios;1.61994096;A
2011;14;NP;Divorcios;694.5188753;A
2011;18;00;Divorcios;2058.63585768;A
2011;18;1;Divorcios;24.59173372;A
2011;18;2;Divorcios;1025.27890992;A
2011;18;3;Divorcios;61.27902572;A
2011;18;4;Divorcios;4.61690328;A
2011;18;NP;Divorcios;942.86928504;A
2011;21;00;Divorcios;976.40048302;A
2011;21;1;Divorcios;25.35884998;A
2011;21;2;Divorcios;524.42902814;A
2011;21;3;Divorcios;54.27337469;A
2011;21;NP;Divorcios;372.33923021;A
2011;23;00;Divorcios;1223.16206129;A
2011;23;1;Divorcios;36.83982926;A
2011;23;2;Divorcios;695.73200291;A
2011;23;3;Divorcios;25.50623028;A
2011;23;4;Divorcios;11.1857573;A
2011;23;NP;Divorcios;453.89824154;A
2011;29;00;Divorcios;3827.02436747;A
2011;29;1;Divorcios;67.69251388;A
2011;29;2;Divorcios;1794.49410771;A
2011;29;3;Divorcios;205.34546502;A
2011;29;4;Divorcios;9.4774299;A
2011;29;NP;Divorcios;1750.01485096;A
