D_TEMPORAL_0;D_LUGARNACIMIEN_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2010;45657;3689;3142;Andaluces;64.0;A
2010;45657;3689;3143;Andaluces;1433.0;A
2010;45657;3689;3160;Andaluces;216.0;A
2010;45657;3689;3676;Andaluces;1649.0;A
2010;45657;3690;2352;Andaluces;3.0;A
2010;45657;3690;2402;Andaluces;17.0;A
2010;45657;3690;2482;Andaluces;6.0;A
2010;45657;3690;2713;Andaluces;5.0;A
2010;45657;3690;2797;Andaluces;1356.0;A
2010;45657;3690;2911;Andaluces;3.0;A
2010;45657;3690;3023;Andaluces;6.0;A
2010;45657;3690;3142;Andaluces;86.0;A
2010;45657;3690;3143;Andaluces;1482.0;A
2010;45657;3690;3160;Andaluces;210.0;A
2010;45657;3690;3676;Andaluces;1692.0;A
2010;45765;3691;2352;Andaluces;22.0;A
2010;45765;3691;2402;Andaluces;32.0;A
2010;45765;3691;2482;Andaluces;50.0;A
2010;45765;3691;2713;Andaluces;126.0;A
2010;45765;3691;2797;Andaluces;4.0;A
2010;45765;3691;2911;Andaluces;5064.0;A
2010;45765;3691;3023;Andaluces;99.0;A
2010;45765;3691;3142;Andaluces;65.0;A
2010;45765;3691;3143;Andaluces;5462.0;A
2010;45765;3691;3160;Andaluces;1869.0;A
2010;45765;3691;3676;Andaluces;7331.0;A
2010;45765;3689;2352;Andaluces;10.0;A
2010;45765;3689;2402;Andaluces;15.0;A
2010;45765;3689;2482;Andaluces;23.0;A
2010;45765;3689;2713;Andaluces;62.0;A
2010;45765;3689;2797;Andaluces;1.0;A
2010;45765;3689;2911;Andaluces;2480.0;A
2010;45765;3689;3023;Andaluces;46.0;A
2010;45765;3689;3142;Andaluces;34.0;A
2010;45765;3689;3143;Andaluces;2671.0;A
2010;45765;3689;3160;Andaluces;879.0;A
2010;45765;3689;3676;Andaluces;3550.0;A
2010;45765;3690;2352;Andaluces;12.0;A
2010;45765;3690;2402;Andaluces;17.0;A
2010;45765;3690;2482;Andaluces;27.0;A
2010;45765;3690;2713;Andaluces;64.0;A
2010;45765;3690;2797;Andaluces;3.0;A
2010;45765;3690;2911;Andaluces;2584.0;A
2010;45765;3690;3023;Andaluces;53.0;A
2010;45765;3690;3142;Andaluces;31.0;A
2010;45765;3690;3143;Andaluces;2791.0;A
2010;45765;3690;3160;Andaluces;990.0;A
2010;45765;3690;3676;Andaluces;3781.0;A
2010;45873;3691;2352;Andaluces;32.0;A
2010;45873;3691;2402;Andaluces;172.0;A
2010;45873;3691;2482;Andaluces;25.0;A
2010;45873;3691;2713;Andaluces;77.0;A
2010;45873;3691;2797;Andaluces;4.0;A
2010;45873;3691;2911;Andaluces;16.0;A
2010;45873;3691;3023;Andaluces;12249.0;A
2010;45873;3691;3142;Andaluces;99.0;A
2010;45873;3691;3143;Andaluces;12674.0;A
2010;45873;3691;3160;Andaluces;1328.0;A
2010;45873;3691;3676;Andaluces;14002.0;A
2010;45873;3689;2352;Andaluces;20.0;A
2010;45873;3689;2402;Andaluces;87.0;A
2010;45873;3689;2482;Andaluces;11.0;A
2010;45873;3689;2713;Andaluces;31.0;A
2010;45873;3689;2797;Andaluces;1.0;A
2010;45873;3689;2911;Andaluces;11.0;A
2010;45873;3689;3023;Andaluces;5967.0;A
2010;45873;3689;3142;Andaluces;42.0;A
2010;45873;3689;3143;Andaluces;6170.0;A
2010;45873;3689;3160;Andaluces;612.0;A
2010;45873;3689;3676;Andaluces;6782.0;A
2010;45873;3690;2352;Andaluces;12.0;A
2010;45873;3690;2402;Andaluces;85.0;A
2010;45873;3690;2482;Andaluces;14.0;A
2010;45873;3690;2713;Andaluces;46.0;A
2010;45873;3690;2797;Andaluces;3.0;A
2010;45873;3690;2911;Andaluces;5.0;A
2010;45873;3690;3023;Andaluces;6282.0;A
2010;45873;3690;3142;Andaluces;57.0;A
2010;45873;3690;3143;Andaluces;6504.0;A
2010;45873;3690;3160;Andaluces;716.0;A
2010;45873;3690;3676;Andaluces;7220.0;A
2010;45980;3691;2352;Andaluces;21.0;A
2010;45980;3691;2402;Andaluces;230.0;A
2010;45980;3691;2482;Andaluces;66.0;A
2010;45980;3691;2713;Andaluces;51.0;A
2010;45980;3691;2797;Andaluces;72.0;A
2010;45980;3691;2911;Andaluces;13.0;A
2010;45980;3691;3023;Andaluces;172.0;A
2010;45980;3691;3142;Andaluces;11074.0;A
2010;45980;3691;3143;Andaluces;11699.0;A
2010;45980;3691;3160;Andaluces;1467.0;A
2010;45980;3691;3676;Andaluces;13166.0;A
2010;45980;3689;2352;Andaluces;12.0;A
2010;45980;3689;2402;Andaluces;99.0;A
2010;45980;3689;2482;Andaluces;26.0;A
2010;45980;3689;2713;Andaluces;18.0;A
2010;45980;3689;2797;Andaluces;39.0;A
2010;45980;3689;2911;Andaluces;7.0;A
2010;45980;3689;3023;Andaluces;91.0;A
2010;45980;3689;3142;Andaluces;5294.0;A
2010;45980;3689;3143;Andaluces;5586.0;A
