D_TEMPORAL_0;D_ESTADO_DATO_0;D_IASS_TIPOVENTAS_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2008-06;40123;61755;3143;Índice Cifra de Negocio;127.76778985;M
2008-06;40123;61756;3143;Índice Cifra de Negocio;116.166580688;M
2008-06;40123;61757;3143;Índice Cifra de Negocio;125.033930008;M
2008-06;40123;61758;3143;Índice Cifra de Negocio;131.300167944;M
2008-06;40123;61759;3143;Índice Cifra de Negocio;140.539587124;M
2008-06;40123;61760;3143;Índice Cifra de Negocio;146.971811897;M
2008-07;40123;61753;3143;Índice Cifra de Negocio;141.4428254;M
2008-07;40123;61754;3143;Índice Cifra de Negocio;139.177717569;M
2008-07;40123;61755;3143;Índice Cifra de Negocio;147.510840714;M
2008-07;40123;61756;3143;Índice Cifra de Negocio;132.992484921;M
2008-07;40123;61757;3143;Índice Cifra de Negocio;145.919446746;M
2008-07;40123;61758;3143;Índice Cifra de Negocio;131.850522499;M
2008-07;40123;61759;3143;Índice Cifra de Negocio;173.652146151;M
2008-07;40123;61760;3143;Índice Cifra de Negocio;180.68916679;M
2008-08;40123;61753;3143;Índice Cifra de Negocio;112.923368112;M
2008-08;40123;61754;3143;Índice Cifra de Negocio;109.022634254;M
2008-08;40123;61755;3143;Índice Cifra de Negocio;123.047603131;M
2008-08;40123;61756;3143;Índice Cifra de Negocio;108.765594499;M
2008-08;40123;61757;3143;Índice Cifra de Negocio;152.981350918;M
2008-08;40123;61758;3143;Índice Cifra de Negocio;111.44193763;M
2008-08;40123;61759;3143;Índice Cifra de Negocio;104.088332826;M
2008-08;40123;61760;3143;Índice Cifra de Negocio;146.358078266;M
2008-09;40123;61753;3143;Índice Cifra de Negocio;117.374213275;M
2008-09;40123;61754;3143;Índice Cifra de Negocio;115.248283601;M
2008-09;40123;61755;3143;Índice Cifra de Negocio;123.031075853;M
2008-09;40123;61756;3143;Índice Cifra de Negocio;104.33526295;M
2008-09;40123;61757;3143;Índice Cifra de Negocio;124.315084662;M
2008-09;40123;61758;3143;Índice Cifra de Negocio;125.147540505;M
2008-09;40123;61759;3143;Índice Cifra de Negocio;139.219018548;M
2008-09;40123;61760;3143;Índice Cifra de Negocio;152.59696521;M
2008-10;40123;61753;3143;Índice Cifra de Negocio;120.833148796;M
2008-10;40123;61754;3143;Índice Cifra de Negocio;117.721305337;M
2008-10;40123;61755;3143;Índice Cifra de Negocio;128.98643772;M
2008-10;40123;61756;3143;Índice Cifra de Negocio;118.181865606;M
2008-10;40123;61757;3143;Índice Cifra de Negocio;111.84663451;M
2008-10;40123;61758;3143;Índice Cifra de Negocio;137.08479911;M
2008-10;40123;61759;3143;Índice Cifra de Negocio;150.423929694;M
2008-10;40123;61760;3143;Índice Cifra de Negocio;156.166726584;M
2008-11;40123;61753;3143;Índice Cifra de Negocio;108.880417237;M
2008-11;40123;61754;3143;Índice Cifra de Negocio;107.329703155;M
2008-11;40123;61755;3143;Índice Cifra de Negocio;113.06464834;M
2008-11;40123;61756;3143;Índice Cifra de Negocio;103.784385218;M
2008-11;40123;61757;3143;Índice Cifra de Negocio;92.46752523;M
2008-11;40123;61758;3143;Índice Cifra de Negocio;126.189150072;M
2008-11;40123;61759;3143;Índice Cifra de Negocio;143.579961682;M
