TEMPORAL;TERRITORIO;IPC_GRUPOSESPECIALES;INDICATOR;OBS_VALUE;FREQ
2021-10;108;17;INDICE;109.947;M
2021-10;108;27;INDICE;109.32;M
2021-10;108;28;INDICE;104.763;M
2021-10;108;09;INDICE;109.206;M
2021-10;108;11;INDICE;106.364;M
2021-10;108;03;INDICE;109.035;M
2021-10;108;04;INDICE;129.063;M
2021-10;108;10;INDICE;103.238;M
2021-10;108;29;INDICE;108.412;M
2021-10;C01;01;INDICE;104.694;M
2021-10;C01;02;INDICE;117.874;M
2021-10;C01;05;INDICE;113.737;M
2021-10;C01;12;INDICE;106.882;M
2021-10;C01;08;INDICE;130.073;M
2021-10;C01;06;INDICE;99.892;M
2021-10;C01;07;INDICE;141.038;M
2021-10;C01;13;INDICE;110.395;M
2021-10;C01;14;INDICE;109.981;M
2021-10;C01;18;INDICE;108.426;M
2021-10;C01;15;INDICE;106.244;M
2021-10;C01;16;INDICE;105.125;M
2021-10;C01;19;INDICE;111.284;M
2021-10;C01;20;INDICE;111.478;M
2021-10;C01;21;INDICE;110.553;M
2021-10;C01;22;INDICE;108.371;M
2021-10;C01;23;INDICE;105.164;M
2021-10;C01;24;INDICE;113.287;M
2021-10;C01;25;INDICE;113.737;M
2021-10;C01;26;INDICE;119.741;M
2021-10;C01;17;INDICE;109.991;M
2021-10;C01;27;INDICE;109.004;M
2021-10;C01;28;INDICE;103.992;M
2021-10;C01;09;INDICE;108.355;M
2021-10;C01;11;INDICE;106.766;M
2021-10;C01;03;INDICE;108.64;M
2021-10;C01;04;INDICE;130.352;M
2021-10;C01;10;INDICE;102.765;M
2021-10;C01;29;INDICE;108.661;M
2021-11;108;01;INDICE;106.127;M
2021-11;108;02;INDICE;116.939;M
2021-11;108;05;INDICE;114.756;M
2021-11;108;12;INDICE;106.509;M
2021-11;108;08;INDICE;132.012;M
2021-11;108;06;INDICE;100.399;M
2021-11;108;07;INDICE;137.78;M
2021-11;108;13;INDICE;110.5;M
2021-11;108;14;INDICE;110.343;M
2021-11;108;18;INDICE;108.507;M
2021-11;108;15;INDICE;106.912;M
2021-11;108;16;INDICE;105.96;M
2021-11;108;19;INDICE;112.189;M
2021-11;108;20;INDICE;112.487;M
2021-11;108;21;INDICE;110.697;M
2021-11;108;22;INDICE;108.159;M
2021-11;108;23;INDICE;105.861;M
2021-11;108;24;INDICE;114.09;M
2021-11;108;25;INDICE;114.756;M
2021-11;108;26;INDICE;120.825;M
2021-11;108;17;INDICE;110.289;M
2021-11;108;27;INDICE;109.937;M
2021-11;108;28;INDICE;105.307;M
2021-11;108;09;INDICE;110.957;M
2021-11;108;11;INDICE;106.433;M
2021-11;108;03;INDICE;109.609;M
2021-11;108;04;INDICE;128.292;M
2021-11;108;10;INDICE;104.766;M
2021-11;108;29;INDICE;108.591;M
2021-11;C01;01;INDICE;105.066;M
2021-11;C01;02;INDICE;118.031;M
2021-11;C01;05;INDICE;114.074;M
2021-11;C01;12;INDICE;106.839;M
2021-11;C01;08;INDICE;132.636;M
2021-11;C01;06;INDICE;100.224;M
2021-11;C01;07;INDICE;138.617;M
2021-11;C01;13;INDICE;110.548;M
2021-11;C01;14;INDICE;110.18;M
2021-11;C01;18;INDICE;108.456;M
2021-11;C01;15;INDICE;106.748;M
2021-11;C01;16;INDICE;105.666;M
2021-11;C01;19;INDICE;111.599;M
2021-11;C01;20;INDICE;111.802;M
2021-11;C01;21;INDICE;110.708;M
2021-11;C01;22;INDICE;108.279;M
2021-11;C01;23;INDICE;105.759;M
