TEMPORAL;TERRITORIO;ECOICOP;INDICATOR;OBS_VALUE;FREQ
2021-04;23;10;INDICE;103.323;M
2021-04;23;11;INDICE;105.377;M
2021-04;23;12;INDICE;101.97;M
2021-04;29;00;INDICE;107.279;M
2021-04;29;01;INDICE;108.354;M
2021-04;29;02;INDICE;104.509;M
2021-04;29;03;INDICE;107.532;M
2021-04;29;04;INDICE;109.486;M
2021-04;29;05;INDICE;101.351;M
2021-04;29;06;INDICE;103.34;M
2021-04;29;07;INDICE;110.336;M
2021-04;29;08;INDICE;101.621;M
2021-04;29;09;INDICE;101.567;M
2021-04;29;10;INDICE;107.619;M
2021-04;29;11;INDICE;108.681;M
2021-04;29;12;INDICE;106.087;M
2021-04;41;00;INDICE;105.891;M
2021-04;41;01;INDICE;106.466;M
2021-04;41;02;INDICE;102.768;M
2021-04;41;03;INDICE;108.417;M
2021-04;41;04;INDICE;110.561;M
2021-04;41;05;INDICE;100.372;M
2021-04;41;06;INDICE;101.872;M
2021-04;41;07;INDICE;109.569;M
2021-04;41;08;INDICE;98.979;M
2021-04;41;09;INDICE;97.521;M
2021-04;41;10;INDICE;105.956;M
2021-04;41;11;INDICE;107.548;M
2021-04;41;12;INDICE;104.813;M
2021-05;108;00;INDICE;106.811;M
2021-05;108;01;INDICE;108.057;M
2021-05;108;02;INDICE;104.892;M
2021-05;108;03;INDICE;111.295;M
2021-05;108;04;INDICE;108.808;M
2021-05;108;05;INDICE;101.741;M
2021-05;108;06;INDICE;102.778;M
2021-05;108;07;INDICE;111.452;M
2021-05;108;08;INDICE;100.21;M
2021-05;108;09;INDICE;99.272;M
2021-05;108;10;INDICE;103.143;M
2021-05;108;11;INDICE;107.356;M
2021-05;108;12;INDICE;105.382;M
2021-05;C01;00;INDICE;106.745;M
2021-05;C01;01;INDICE;107.679;M
2021-05;C01;02;INDICE;103.417;M
2021-05;C01;03;INDICE;111.589;M
2021-05;C01;04;INDICE;110.109;M
2021-05;C01;05;INDICE;100.372;M
2021-05;C01;06;INDICE;102.57;M
2021-05;C01;07;INDICE;111.202;M
2021-05;C01;08;INDICE;100.339;M
2021-05;C01;09;INDICE;98.591;M
2021-05;C01;10;INDICE;105.646;M
2021-05;C01;11;INDICE;107.107;M
2021-05;C01;12;INDICE;104.258;M
2021-05;04;00;INDICE;106.984;M
2021-05;04;01;INDICE;109.507;M
2021-05;04;02;INDICE;104.924;M
2021-05;04;03;INDICE;110.877;M
2021-05;04;04;INDICE;110.108;M
2021-05;04;05;INDICE;100.371;M
2021-05;04;06;INDICE;102.217;M
2021-05;04;07;INDICE;112.239;M
2021-05;04;08;INDICE;102.15;M
2021-05;04;09;INDICE;98.167;M
2021-05;04;10;INDICE;102.402;M
2021-05;04;11;INDICE;103.904;M
2021-05;04;12;INDICE;103.469;M
2021-05;11;00;INDICE;105.363;M
2021-05;11;01;INDICE;105.117;M
2021-05;11;02;INDICE;102.91;M
2021-05;11;03;INDICE;111.942;M
2021-05;11;04;INDICE;108.864;M
2021-05;11;05;INDICE;97.72;M
2021-05;11;06;INDICE;101.271;M
2021-05;11;07;INDICE;111.944;M
2021-05;11;08;INDICE;98.67;M
2021-05;11;09;INDICE;97.015;M
2021-05;11;10;INDICE;104.266;M
2021-05;11;11;INDICE;105.964;M
2021-05;11;12;INDICE;103.341;M
2021-05;14;00;INDICE;107.214;M
2021-05;14;01;INDICE;108.103;M
2021-05;14;02;INDICE;101.975;M
2021-05;14;03;INDICE;112.996;M
2021-05;14;04;INDICE;110.366;M
2021-05;14;05;INDICE;98.587;M
2021-05;14;06;INDICE;105.701;M
2021-05;14;07;INDICE;110.947;M
2021-05;14;08;INDICE;100.048;M
2021-05;14;09;INDICE;101.519;M
2021-05;14;10;INDICE;104.284;M
2021-05;14;11;INDICE;106.062;M
2021-05;14;12;INDICE;104.732;M
2021-05;18;00;INDICE;106.709;M
2021-05;18;01;INDICE;108.468;M
2021-05;18;02;INDICE;102.824;M
2021-05;18;03;INDICE;110.369;M
2021-05;18;04;INDICE;109.445;M
2021-05;18;05;INDICE;102.124;M
2021-05;18;06;INDICE;101.714;M
2021-05;18;07;INDICE;109.887;M
2021-05;18;08;INDICE;100.855;M
2021-05;18;09;INDICE;97.781;M
2021-05;18;10;INDICE;107.668;M
2021-05;18;11;INDICE;108.386;M
2021-05;18;12;INDICE;104.49;M
2021-05;21;00;INDICE;106.268;M
2021-05;21;01;INDICE;105.426;M
2021-05;21;02;INDICE;103.236;M
2021-05;21;03;INDICE;112.788;M
2021-05;21;04;INDICE;110.379;M
2021-05;21;05;INDICE;100.029;M
2021-05;21;06;INDICE;104.177;M
2021-05;21;07;INDICE;110.991;M
2021-05;21;08;INDICE;100.972;M
2021-05;21;09;INDICE;98.152;M
2021-05;21;10;INDICE;104.079;M
2021-05;21;11;INDICE;107.889;M
2021-05;21;12;INDICE;101.199;M
2021-05;23;00;INDICE;106.679;M
2021-05;23;01;INDICE;109.117;M
2021-05;23;02;INDICE;104.701;M
2021-05;23;03;INDICE;113.407;M
2021-05;23;04;INDICE;110.528;M
2021-05;23;05;INDICE;99.793;M
2021-05;23;06;INDICE;100.438;M
2021-05;23;07;INDICE;112.358;M
2021-05;23;08;INDICE;101.257;M
2021-05;23;09;INDICE;95.444;M
2021-05;23;10;INDICE;103.323;M
2021-05;23;11;INDICE;105.423;M
2021-05;23;12;INDICE;101.682;M
2021-05;29;00;INDICE;107.986;M
2021-05;29;01;INDICE;109.278;M
2021-05;29;02;INDICE;104.123;M
