TEMPORAL;TERRITORIO;IPC_RUBRICAS;INDICATOR;OBS_VALUE;FREQ
2021-05;108;03;INDICE;105.44;M
2021-05;108;04;INDICE;111.942;M
2021-05;108;05;INDICE;110.92;M
2021-05;108;06;INDICE;109.206;M
2021-05;108;07;INDICE;108.817;M
2021-05;108;08;INDICE;111.078;M
2021-05;108;09;INDICE;109.742;M
2021-05;108;10;INDICE;105.823;M
2021-05;108;11;INDICE;98.611;M
2021-05;108;12;INDICE;103.577;M
2021-05;108;13;INDICE;91.703;M
2021-05;108;14;INDICE;122.451;M
2021-05;108;15;INDICE;99.049;M
2021-05;108;16;INDICE;120.452;M
2021-05;108;17;INDICE;105.521;M
2021-05;108;18;INDICE;112.441;M
2021-05;108;19;INDICE;101.899;M
2021-05;108;20;INDICE;105.762;M
2021-05;108;21;INDICE;102.44;M
2021-05;108;22;INDICE;115.817;M
2021-05;108;23;INDICE;106.952;M
2021-05;108;24;INDICE;103.874;M
2021-05;108;25;INDICE;105.323;M
2021-05;108;26;INDICE;114.934;M
2021-05;108;27;INDICE;117.335;M
2021-05;108;28;INDICE;106.522;M
2021-05;108;29;INDICE;109.189;M
2021-05;108;30;INDICE;109.618;M
2021-05;108;31;INDICE;105.343;M
2021-05;108;32;INDICE;108.442;M
2021-05;108;33;INDICE;104.955;M
2021-05;108;34;INDICE;112.673;M
2021-05;108;35;INDICE;104.251;M
2021-05;108;36;INDICE;103.972;M
2021-05;108;37;INDICE;99.276;M
2021-05;108;38;INDICE;97.366;M
2021-05;108;39;INDICE;99.928;M
2021-05;108;40;INDICE;99.972;M
2021-05;108;41;INDICE;109.571;M
2021-05;108;42;INDICE;108.425;M
2021-05;108;43;INDICE;100.27;M
2021-05;108;44;INDICE;112.326;M
2021-05;108;45;INDICE;102.495;M
2021-05;108;46;INDICE;94.499;M
2021-05;108;47;INDICE;100.21;M
2021-05;108;48;INDICE;89.743;M
2021-05;108;49;INDICE;109.394;M
2021-05;108;50;INDICE;102.895;M
2021-05;108;51;INDICE;106.361;M
2021-05;108;52;INDICE;108.264;M
2021-05;108;53;INDICE;99.313;M
2021-05;108;54;INDICE;106.034;M
2021-05;108;55;INDICE;96.878;M
2021-05;108;56;INDICE;106.245;M
2021-05;108;57;INDICE;107.316;M
2021-05;C01;01;INDICE;102.865;M
2021-05;C01;02;INDICE;101.319;M
2021-05;C01;03;INDICE;105.12;M
2021-05;C01;04;INDICE;111.31;M
2021-05;C01;05;INDICE;110.44;M
2021-05;C01;06;INDICE;111.647;M
2021-05;C01;07;INDICE;106.838;M
2021-05;C01;08;INDICE;111.274;M
2021-05;C01;09;INDICE;108.953;M
2021-05;C01;10;INDICE;101.979;M
2021-05;C01;11;INDICE;98.317;M
2021-05;C01;12;INDICE;103.379;M
2021-05;C01;13;INDICE;90.864;M
2021-05;C01;14;INDICE;127.212;M
2021-05;C01;15;INDICE;99.121;M
2021-05;C01;16;INDICE;119.121;M
2021-05;C01;17;INDICE;105.369;M
2021-05;C01;18;INDICE;111.667;M
2021-05;C01;19;INDICE;101.144;M
2021-05;C01;20;INDICE;107.818;M
2021-05;C01;21;INDICE;101.915;M
2021-05;C01;22;INDICE;112.447;M
2021-05;C01;23;INDICE;104.205;M
2021-05;C01;24;INDICE;103.129;M
2021-05;C01;25;INDICE;104.483;M
2021-05;C01;26;INDICE;116.326;M
2021-05;C01;27;INDICE;118.57;M
2021-05;C01;28;INDICE;109.091;M
2021-05;C01;29;INDICE;109.302;M
2021-05;C01;30;INDICE;108.555;M
2021-05;C01;31;INDICE;100.817;M
2021-05;C01;32;INDICE;106.7;M
2021-05;C01;33;INDICE;104.206;M
2021-05;C01;34;INDICE;114.885;M
2021-05;C01;35;INDICE;104.366;M
2021-05;C01;36;INDICE;103.474;M
2021-05;C01;37;INDICE;97.258;M
2021-05;C01;38;INDICE;97.258;M
2021-05;C01;39;INDICE;100.089;M
2021-05;C01;40;INDICE;98.383;M
2021-05;C01;41;INDICE;107.89;M
2021-05;C01;42;INDICE;109.065;M
2021-05;C01;43;INDICE;99.818;M
2021-05;C01;44;INDICE;111.663;M
2021-05;C01;45;INDICE;103.53;M
2021-05;C01;46;INDICE;98.926;M
2021-05;C01;47;INDICE;100.339;M
2021-05;C01;48;INDICE;87.535;M
2021-05;C01;49;INDICE;109.147;M
2021-05;C01;50;INDICE;104.009;M
2021-05;C01;51;INDICE;108.627;M
2021-05;C01;52;INDICE;108.952;M
2021-05;C01;53;INDICE;104.459;M
2021-05;C01;54;INDICE;104.044;M
2021-05;C01;55;INDICE;95.972;M
2021-05;C01;56;INDICE;106.438;M
2021-05;C01;57;INDICE;106.748;M
2021-06;108;01;INDICE;102.014;M
2021-06;108;02;INDICE;103.681;M
2021-06;108;03;INDICE;105.571;M
2021-06;108;04;INDICE;113.435;M
2021-06;108;05;INDICE;110.919;M
2021-06;108;06;INDICE;109.218;M
2021-06;108;07;INDICE;108.81;M
2021-06;108;08;INDICE;110.955;M
2021-06;108;09;INDICE;110.308;M
2021-06;108;10;INDICE;107.384;M
2021-06;108;11;INDICE;98.605;M
2021-06;108;12;INDICE;103.555;M
2021-06;108;13;INDICE;95.577;M
2021-06;108;14;INDICE;123.851;M
2021-06;108;15;INDICE;99.206;M
2021-06;108;16;INDICE;113.873;M
2021-06;108;17;INDICE;105.388;M
2021-06;108;18;INDICE;112.403;M
2021-06;108;19;INDICE;101.667;M
2021-06;108;20;INDICE;105.372;M
2021-06;108;21;INDICE;102.893;M
2021-06;108;22;INDICE;115.4;M
2021-06;108;23;INDICE;106.38;M
2021-06;108;24;INDICE;103.895;M
2021-06;108;25;INDICE;104.045;M
2021-06;108;26;INDICE;112.864;M
2021-06;108;27;INDICE;116.055;M
2021-06;108;28;INDICE;105.7;M
2021-06;108;29;INDICE;108.162;M
2021-06;108;30;INDICE;108.969;M
2021-06;108;31;INDICE;104.131;M
2021-06;108;32;INDICE;108.663;M
2021-06;108;33;INDICE;105.016;M
2021-06;108;34;INDICE;117.325;M
2021-06;108;35;INDICE;104.279;M
2021-06;108;36;INDICE;104.327;M
2021-06;108;37;INDICE;99.497;M
2021-06;108;38;INDICE;97.233;M
2021-06;108;39;INDICE;100.137;M
2021-06;108;40;INDICE;99.978;M
2021-06;108;41;INDICE;109.61;M
2021-06;108;42;INDICE;108.591;M
2021-06;108;43;INDICE;100.465;M
2021-06;108;44;INDICE;113.615;M
2021-06;108;45;INDICE;102.471;M
2021-06;108;46;INDICE;94.686;M
2021-06;108;47;INDICE;100.219;M
2021-06;108;48;INDICE;89.114;M
2021-06;108;49;INDICE;109.714;M
2021-06;108;50;INDICE;102.985;M
2021-06;108;51;INDICE;106.361;M
2021-06;108;52;INDICE;108.269;M
2021-06;108;53;INDICE;99.313;M
2021-06;108;54;INDICE;106.091;M
2021-06;108;55;INDICE;97.517;M
2021-06;108;56;INDICE;107.089;M
2021-06;108;57;INDICE;107.512;M
2021-06;C01;01;INDICE;102.287;M
2021-06;C01;02;INDICE;101.397;M
2021-06;C01;03;INDICE;105.25;M
2021-06;C01;04;INDICE;112.251;M
2021-06;C01;05;INDICE;109.824;M
2021-06;C01;06;INDICE;111.662;M
2021-06;C01;07;INDICE;107.014;M
2021-06;C01;08;INDICE;111.171;M
2021-06;C01;09;INDICE;109.542;M
2021-06;C01;10;INDICE;104.382;M
2021-06;C01;11;INDICE;98.33;M
2021-06;C01;12;INDICE;103.081;M
2021-06;C01;13;INDICE;93.543;M
2021-06;C01;14;INDICE;126.406;M
2021-06;C01;15;INDICE;99.04;M
2021-06;C01;16;INDICE;110.925;M
2021-06;C01;17;INDICE;105.182;M
2021-06;C01;18;INDICE;111.712;M
2021-06;C01;19;INDICE;101.288;M
2021-06;C01;20;INDICE;107.187;M
2021-06;C01;21;INDICE;102.556;M
2021-06;C01;22;INDICE;113.361;M
2021-06;C01;23;INDICE;103.638;M
2021-06;C01;24;INDICE;103.129;M
2021-06;C01;25;INDICE;103.075;M
2021-06;C01;26;INDICE;114.107;M
2021-06;C01;27;INDICE;117.364;M
2021-06;C01;28;INDICE;107.559;M
2021-06;C01;29;INDICE;107.754;M
2021-06;C01;30;INDICE;108.014;M
2021-06;C01;31;INDICE;100.616;M
2021-06;C01;32;INDICE;106.7;M
2021-06;C01;33;INDICE;104.289;M
2021-06;C01;34;INDICE;120.159;M
2021-06;C01;35;INDICE;104.443;M
2021-06;C01;36;INDICE;103.881;M
2021-06;C01;37;INDICE;97.263;M
2021-06;C01;38;INDICE;97.349;M
2021-06;C01;39;INDICE;100.27;M
2021-06;C01;40;INDICE;98.403;M
2021-06;C01;41;INDICE;107.917;M
2021-06;C01;42;INDICE;109.106;M
2021-06;C01;43;INDICE;99.992;M
2021-06;C01;44;INDICE;112.986;M
